scenario,action_portfolio,n_origins,provenance,scenario_delta_equipment_availability,action_delta_equipment_availability,action_delta_equipment_availability_p10,action_delta_equipment_availability_p90,scenario_delta_equipment_downtime_h,action_delta_equipment_downtime_h,action_delta_equipment_downtime_h_p10,action_delta_equipment_downtime_h_p90,scenario_delta_maintenance_hours,action_delta_maintenance_hours,action_delta_maintenance_hours_p10,action_delta_maintenance_hours_p90,scenario_delta_drilling_delay_h,action_delta_drilling_delay_h,action_delta_drilling_delay_h_p10,action_delta_drilling_delay_h_p90,scenario_delta_blast_delay_h,action_delta_blast_delay_h,action_delta_blast_delay_h_p10,action_delta_blast_delay_h_p90,scenario_delta_truck_count,action_delta_truck_count,action_delta_truck_count_p10,action_delta_truck_count_p90,scenario_delta_haulage_delay_h,action_delta_haulage_delay_h,action_delta_haulage_delay_h_p10,action_delta_haulage_delay_h_p90,scenario_rainfall_7d_mm_min,simulated_recovery_t_median,simulated_recovery_t_p10,simulated_recovery_t_p90
EQUIPMENT_DEGRADATION,A2+A3,143,SIMULATED,-0.1428,0.0,-0.1104,0.1543,2.7702,0.0,-3.083,2.209,0.0,0.0,-0.0149,0.0218,-0.1059,-0.1699,-0.6541,0.3416,-0.0432,0.0,-0.1718,0.1197,-1.8971,2.0802,0.0,2.708,0.0666,-0.0966,-1.7965,0.2092,,434.7,-889.7,2583.4
EQUIPMENT_DEGRADATION,A3,143,SIMULATED,-0.1428,0.0,-0.0468,0.0551,2.7702,0.0,-1.0523,0.9397,0.0,0.0,0.0,0.0,-0.1059,-0.1923,-0.5581,0.0,-0.0432,0.0,-0.1252,0.0505,-1.8971,0.0,-0.1844,0.1226,0.0666,0.0,-0.1834,0.1943,,0.0,-578.9,1375.0
EQUIPMENT_DEGRADATION,NO_ACTION,143,SIMULATED,-0.1428,0.0,0.0,0.0,2.7702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1059,0.0,0.0,0.0,-0.0432,0.0,0.0,0.0,-1.8971,0.0,0.0,0.0,0.0666,0.0,0.0,0.0,,0.0,0.0,0.0
HAULAGE_DISRUPTION,A1,143,SIMULATED,-0.0089,0.0253,-0.0183,0.1122,0.0581,-0.603,-2.4344,0.1579,0.0,0.0,-0.0157,0.0209,-0.0002,0.0,-0.4579,0.4496,-0.0681,0.0087,-0.083,0.0906,-3.6025,0.3885,0.1226,0.7114,4.0245,-0.0617,-0.6009,0.8454,,223.4,-156.1,940.1
HAULAGE_DISRUPTION,A1+A2,143,SIMULATED,-0.0089,0.0258,-0.0507,0.1282,0.0581,-0.5307,-2.7217,0.8247,0.0,0.0,-0.0402,0.0304,-0.0002,-0.08,-0.6174,0.6242,-0.0681,0.0466,-0.1095,0.2118,-3.6025,3.2027,2.8636,3.563,4.0245,-2.7073,-4.0026,-0.3089,,2229.9,294.7,3093.6
HAULAGE_DISRUPTION,A1+A2+A3,143,SIMULATED,-0.0089,0.0287,-0.0499,0.1258,0.0581,-0.5748,-2.7217,0.8233,0.0,0.0,-0.0362,0.034,-0.0002,-0.2466,-0.9028,0.353,-0.0681,0.0479,-0.1603,0.164,-3.6025,3.2032,2.8908,3.554,4.0245,-2.7145,-4.0221,-0.3301,,2343.2,661.7,3151.0
HAULAGE_DISRUPTION,A1+A3,143,SIMULATED,-0.0089,0.0253,-0.0257,0.1121,0.0581,-0.5964,-2.2744,0.3292,0.0,0.0,-0.0246,0.0303,-0.0002,-0.238,-0.7524,0.2165,-0.0681,0.0022,-0.1234,0.0751,-3.6025,0.3885,0.1164,0.7179,4.0245,-0.0547,-0.6679,1.0272,,280.6,-143.3,1425.5
HAULAGE_DISRUPTION,A2,143,SIMULATED,-0.0089,-0.0013,-0.1048,0.1141,0.0581,0.0,-2.2679,2.1879,0.0,0.0,-0.0325,0.0328,-0.0002,0.013,-0.5855,0.6033,-0.0681,0.035,-0.116,0.1748,-3.6025,2.7343,2.3775,3.0582,4.0245,-2.4464,-4.0913,-0.2817,,1797.6,-487.8,2618.0
HAULAGE_DISRUPTION,A2+A3,143,SIMULATED,-0.0089,-0.0022,-0.1309,0.1141,0.0581,0.0494,-2.2752,2.6639,0.0,0.0,-0.0383,0.0257,-0.0002,-0.2373,-0.803,0.2882,-0.0681,0.0307,-0.1616,0.1275,-3.6025,2.7343,2.3977,3.0518,4.0245,-2.4989,-4.0403,-0.2772,,1843.8,161.8,2849.6
HAULAGE_DISRUPTION,A3,143,SIMULATED,-0.0089,0.0,-0.0381,0.0289,0.0581,0.0,-0.5995,0.7853,0.0,0.0,0.0,0.0,-0.0002,-0.1676,-0.6025,0.0,-0.0681,0.0,-0.1103,0.0345,-3.6025,0.0,-0.1264,0.0914,4.0245,0.0,-0.4774,0.3912,,0.0,-197.1,537.8
HAULAGE_DISRUPTION,NO_ACTION,143,SIMULATED,-0.0089,0.0,0.0,0.0,0.0581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002,0.0,0.0,0.0,-0.0681,0.0,0.0,0.0,-3.6025,0.0,0.0,0.0,4.0245,0.0,0.0,0.0,,0.0,0.0,0.0
HEAVY_RAIN,A1,143,SIMULATED,0.0,0.0375,-0.0217,0.1143,0.0,-0.7891,-2.449,0.4257,0.0,0.0,-0.0272,0.0612,1.483,0.0459,-0.383,0.5186,-0.0062,0.0125,-0.1142,0.1454,-0.3083,0.6793,0.3395,1.0645,0.3938,-0.0852,-0.8151,0.3834,148.0,536.2,-261.2,1676.7
HEAVY_RAIN,A1+A2,143,SIMULATED,0.0,0.0322,-0.0427,0.1313,0.0,-0.6811,-2.6981,0.7379,0.0,0.0,-0.0312,0.0418,1.483,0.0356,-0.4443,0.6262,-0.0062,0.0146,-0.1416,0.1794,-0.3083,3.07,0.7926,3.6406,0.3938,-0.8129,-3.1688,0.2026,148.0,1209.5,-361.3,3024.7
HEAVY_RAIN,A1+A2+A3,143,SIMULATED,0.0,0.0329,-0.0505,0.1323,0.0,-0.783,-2.7406,0.8179,0.0,0.0,-0.0299,0.0573,1.483,-0.9016,-1.3684,-0.4092,-0.0062,0.0146,-0.1683,0.192,-0.3083,3.0501,0.7316,3.6179,0.3938,-0.7745,-3.1781,0.0598,148.0,1449.1,-173.9,3167.0
HEAVY_RAIN,A1+A3,143,SIMULATED,0.0,0.0328,-0.0223,0.1195,0.0,-0.7077,-2.5461,0.4072,0.0,0.0,-0.025,0.0573,1.483,-0.9051,-1.3701,-0.3946,-0.0062,0.0043,-0.1682,0.1236,-0.3083,0.6726,0.3315,1.0737,0.3938,-0.0698,-0.8448,0.3834,148.0,525.7,-100.0,1967.2
HEAVY_RAIN,A2,143,SIMULATED,0.0,0.0,-0.0692,0.102,0.0,0.0,-2.1135,1.4361,0.0,0.0,-0.0279,0.0178,1.483,0.0,-0.4572,0.5241,-0.0062,0.0,-0.056,0.1438,-0.3083,2.4154,0.0,2.9133,0.3938,-0.798,-2.9218,0.0,148.0,582.8,-166.9,2547.3
HEAVY_RAIN,A2+A3,143,SIMULATED,0.0,0.0,-0.0961,0.1089,0.0,0.0,-2.2064,1.9592,0.0,0.0,-0.0466,0.018,1.483,-0.9002,-1.3299,-0.4328,-0.0062,0.0157,-0.1552,0.1354,-0.3083,2.3959,-0.0246,2.9137,0.3938,-0.7783,-2.9358,0.1255,148.0,938.1,-461.8,2790.7
HEAVY_RAIN,A3,143,SIMULATED,0.0,0.0,-0.0423,0.0713,0.0,0.0,-1.4249,0.8389,0.0,0.0,0.0,0.0,1.483,-0.8695,-1.1601,-0.6675,-0.0062,0.0,-0.1085,0.0597,-0.3083,0.0,-0.1554,0.2049,0.3938,0.0,-0.3812,0.4923,148.0,0.0,-463.0,905.5
HEAVY_RAIN,NO_ACTION,143,SIMULATED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.483,0.0,0.0,0.0,-0.0062,0.0,0.0,0.0,-0.3083,0.0,0.0,0.0,0.3938,0.0,0.0,0.0,148.0,0.0,0.0,0.0
NORMAL,A1,143,SIMULATED,0.0,0.0345,-0.0216,0.1036,0.0,-0.7423,-2.1491,0.3902,0.0,0.0,-0.0028,0.0345,0.0,0.0092,-0.4461,0.5581,0.0,0.0077,-0.1292,0.1477,0.0,0.5021,0.2031,0.8995,0.0,0.0,-0.5069,0.1398,,402.0,-352.3,1395.6
NORMAL,A1+A2,143,SIMULATED,0.0,0.0351,-0.0323,0.1153,0.0,-0.6811,-2.508,0.5445,0.0,0.0,-0.0365,0.0224,0.0,0.0323,-0.5263,0.6598,0.0,0.008,-0.1374,0.1798,0.0,3.0258,0.5322,3.4497,0.0,0.0,-1.9793,0.1797,,621.9,-440.2,2377.6
NORMAL,A1+A2+A3,143,SIMULATED,0.0,0.0347,-0.05,0.1084,0.0,-0.6323,-2.2485,0.7801,0.0,0.0,-0.0496,0.0304,0.0,-0.2134,-0.7004,0.2918,0.0,-0.0005,-0.1835,0.1487,0.0,3.0209,0.5353,3.4558,0.0,-0.0257,-1.9869,0.1167,,619.7,-396.3,2973.0
NORMAL,A1+A3,143,SIMULATED,0.0,0.0309,-0.0216,0.1082,0.0,-0.6619,-2.2548,0.3341,0.0,0.0,-0.0097,0.0349,0.0,-0.213,-0.6701,0.2612,0.0,-0.0058,-0.321,0.13,0.0,0.5015,0.2162,0.9023,0.0,0.0,-0.5625,0.2175,,524.9,-255.7,1858.5
NORMAL,A2,143,SIMULATED,0.0,0.0,-0.1007,0.0602,0.0,0.0,-1.2992,1.9823,0.0,0.0,-0.0562,0.0033,0.0,0.0,-0.4947,0.5558,0.0,0.0,-0.1135,0.1051,0.0,2.4997,0.0,2.9967,0.0,0.0,-1.8192,0.0,,0.0,-1056.2,1723.7
NORMAL,A2+A3,143,SIMULATED,0.0,0.0,-0.1037,0.0827,0.0,0.0,-1.6845,2.0127,0.0,0.0,-0.0424,0.0218,0.0,-0.2471,-0.6819,0.2558,0.0,-0.0068,-0.278,0.1216,0.0,2.5296,0.0,3.0143,0.0,-0.0147,-1.8734,0.0,,230.1,-1188.6,2763.5
NORMAL,A3,143,SIMULATED,0.0,0.0,-0.0324,0.0209,0.0,0.0,-0.5636,0.7464,0.0,0.0,0.0,0.0,0.0,-0.1824,-0.5188,0.0327,0.0,0.0,-0.2894,0.036,0.0,0.0,-0.0849,0.1635,0.0,0.0,-0.1379,0.0087,,0.0,-303.8,1172.7
NORMAL,NO_ACTION,143,SIMULATED,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
