scenario_id,origin,baseline_state,scenario,action_portfolio,n_actions,equipment_availability_before,equipment_downtime_h_before,maintenance_hours_before,drilling_delay_h_before,blast_delay_h_before,truck_count_before,haulage_delay_h_before,equipment_availability_after,equipment_downtime_h_after,maintenance_hours_after,drilling_delay_h_after,blast_delay_h_after,truck_count_after,haulage_delay_h_after,rainfall_7d_mm,soil_moisture_m3m3,production_normal_t,production_before_t,production_after_t,target_t,gap_before_t,gap_after_t,residual_gap_t,action_cost_proxy,provenance,recovery_t,uncertainty_recovery_sd_t
SIM_2021-04-02_HEAVY_RAIN,2021-04-02,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A2,1,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,0.8028,2.944,1.0,2.2501,0.257,17.1621,0.0,148.0,0.46,9128.0,8398.7,9062.7,10275.0,1876.3,1212.3,1212.3,1,SIMULATED,664.0,1196.9
SIM_2021-04-02_HEAVY_RAIN,2021-04-02,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A3,1,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,0.8634,2.2325,0.5,1.8795,0.2906,14.6812,1.6945,148.0,0.46,9128.0,8398.7,8398.7,10275.0,1876.3,1876.3,1876.3,1,SIMULATED,0.0,1266.9
SIM_2021-04-02_HEAVY_RAIN,2021-04-02,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A1+A2,2,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,0.874,1.2615,1.0,2.0665,0.2543,17.7735,0.0,148.0,0.46,9128.0,8398.7,10228.8,10275.0,1876.3,46.2,46.2,2,SIMULATED,1830.0999999999985,1521.8
SIM_2021-04-02_HEAVY_RAIN,2021-04-02,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A1+A3,2,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,0.9028,1.0028,0.9417,1.2986,0.3031,14.9576,0.5796,148.0,0.46,9128.0,8398.7,10234.0,10275.0,1876.3,41.0,41.0,2,SIMULATED,1835.2999999999993,1295.9
SIM_2021-04-02_HEAVY_RAIN,2021-04-02,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A2+A3,2,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,0.8028,2.944,1.0,1.3879,0.3082,17.0871,0.0,148.0,0.46,9128.0,8398.7,8990.5,10275.0,1876.3,1284.5,1284.5,2,SIMULATED,591.7999999999993,1610.6
SIM_2021-04-02_HEAVY_RAIN,2021-04-02,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A1+A2+A3,3,0.8634,2.2325,0.5,2.7155,0.2906,14.6812,1.6945,0.8159,2.3483,0.9858,1.3077,0.1742,17.8138,0.0,148.0,0.46,9128.0,8398.7,9452.5,10275.0,1876.3,822.5,822.5,3,SIMULATED,1053.7999999999993,1489.5
SIM_2021-04-02_EQUIPMENT_DEGRADATION,2021-04-02,SIMULATED_HISTORY_STATE,EQUIPMENT_DEGRADATION,NO_ACTION,0,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.0,0.261,9128.0,8361.7,8361.7,10275.0,1913.3,1913.3,1913.3,0,SIMULATED,0.0,0.0
SIM_2021-04-02_EQUIPMENT_DEGRADATION,2021-04-02,SIMULATED_HISTORY_STATE,EQUIPMENT_DEGRADATION,A1,1,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.8251,2.3354,0.9956,0.5755,0.2251,14.0867,0.4138,0.0,0.261,9128.0,8361.7,9031.9,10275.0,1913.3,1243.1,1243.1,1,SIMULATED,670.1999999999989,1212.5
SIM_2021-04-02_EQUIPMENT_DEGRADATION,2021-04-02,SIMULATED_HISTORY_STATE,EQUIPMENT_DEGRADATION,A2,1,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.6423,6.5398,0.4829,0.9008,0.1189,16.0721,0.0,0.0,0.261,9128.0,8361.7,7496.6,10275.0,1913.3,2778.4,2778.4,1,SIMULATED,-865.1000000000004,1270.9
SIM_2021-04-02_EQUIPMENT_DEGRADATION,2021-04-02,SIMULATED_HISTORY_STATE,EQUIPMENT_DEGRADATION,A3,1,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.0,0.261,9128.0,8361.7,8361.7,10275.0,1913.3,1913.3,1913.3,1,SIMULATED,0.0,1160.7
SIM_2021-04-02_EQUIPMENT_DEGRADATION,2021-04-02,SIMULATED_HISTORY_STATE,EQUIPMENT_DEGRADATION,A1+A2,2,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.7584,3.6103,0.9531,0.3198,0.1806,16.6637,0.0,0.0,0.261,9128.0,8361.7,8905.1,10275.0,1913.3,1369.9,1369.9,2,SIMULATED,543.3999999999996,1506.9
SIM_2021-04-02_EQUIPMENT_DEGRADATION,2021-04-02,SIMULATED_HISTORY_STATE,EQUIPMENT_DEGRADATION,A1+A3,2,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.8251,2.3354,0.9956,0.5755,0.2251,14.0867,0.4138,0.0,0.261,9128.0,8361.7,9031.9,10275.0,1913.3,1243.1,1243.1,2,SIMULATED,670.1999999999989,1417.0
SIM_2021-04-02_EQUIPMENT_DEGRADATION,2021-04-02,SIMULATED_HISTORY_STATE,EQUIPMENT_DEGRADATION,A2+A3,2,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.6386,6.6979,0.5,0.5036,0.187,15.8222,0.0,0.0,0.261,9128.0,8361.7,7466.9,10275.0,1913.3,2808.1,2808.1,2,SIMULATED,-894.8000000000011,1541.4
SIM_2021-04-02_EQUIPMENT_DEGRADATION,2021-04-02,SIMULATED_HISTORY_STATE,EQUIPMENT_DEGRADATION,A1+A2+A3,3,0.7073,5.3163,0.4386,0.3385,0.1619,13.6426,0.0,0.7584,3.6103,0.9531,0.2791,0.1806,16.6637,0.0,0.0,0.261,9128.0,8361.7,8905.1,10275.0,1913.3,1369.9,1369.9,3,SIMULATED,543.3999999999996,1565.6
SIM_2021-04-02_BLAST_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,BLAST_DELAY,NO_ACTION,0,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.0,0.261,9128.0,4800.0,4800.0,10275.0,5475.0,5475.0,5475.0,0,SIMULATED,0.0,0.0
SIM_2021-04-02_BLAST_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,BLAST_DELAY,A1,1,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.8734,1.5318,1.0,0.9321,0.2867,15.3753,0.0,0.0,0.261,9128.0,4800.0,10148.6,10275.0,5475.0,126.4,126.4,1,SIMULATED,5348.6,2678.0
SIM_2021-04-02_BLAST_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,BLAST_DELAY,A2,1,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.8875,1.0771,1.0,0.6974,7.5557,17.6437,0.4138,0.0,0.261,9128.0,4800.0,4800.0,10275.0,5475.0,5475.0,5475.0,1,SIMULATED,0.0,2194.1
SIM_2021-04-02_BLAST_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,BLAST_DELAY,A3,1,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.9159,0.682,1.0,0.9646,0.2022,14.9817,0.639,0.0,0.261,9128.0,4800.0,10016.2,10275.0,5475.0,258.8,258.8,1,SIMULATED,5216.200000000001,2218.4
SIM_2021-04-02_BLAST_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,BLAST_DELAY,A1+A2,2,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.8883,1.234,1.0,0.6228,3.6508,17.9576,0.0,0.0,0.261,9128.0,4800.0,7762.1,10275.0,5475.0,2512.9,2512.9,2,SIMULATED,2962.1000000000004,2848.1
SIM_2021-04-02_BLAST_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,BLAST_DELAY,A1+A3,2,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.8734,1.5318,1.0,0.6772,0.2867,15.3753,0.0,0.0,0.261,9128.0,4800.0,10148.6,10275.0,5475.0,126.4,126.4,2,SIMULATED,5348.6,2152.3
SIM_2021-04-02_BLAST_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,BLAST_DELAY,A2+A3,2,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.8828,1.2262,1.0,0.5204,0.2326,17.7294,0.0,0.0,0.261,9128.0,4800.0,10273.3,10275.0,5475.0,1.7,1.7,2,SIMULATED,5473.299999999999,2029.2
SIM_2021-04-02_BLAST_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,BLAST_DELAY,A1+A2+A3,3,0.8399,2.1822,1.0,1.2325,6.4053,14.9134,0.639,0.8883,1.234,1.0,0.6101,0.2322,17.9576,0.0,0.0,0.261,9128.0,4800.0,10171.8,10275.0,5475.0,103.2,103.2,3,SIMULATED,5371.799999999999,2110.0
SIM_2021-04-02_DRILL_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,DRILL_DELAY,NO_ACTION,0,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.0,0.261,9128.0,10405.2,10405.2,10275.0,0.0,0.0,0.0,0,SIMULATED,0.0,0.0
SIM_2021-04-02_DRILL_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,DRILL_DELAY,A1,1,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.9093,0.7003,1.0,1.483,0.2069,15.1781,0.0,0.0,0.261,9128.0,10405.2,10527.8,10275.0,0.0,0.0,0.0,1,SIMULATED,122.59999999999854,1187.9
SIM_2021-04-02_DRILL_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,DRILL_DELAY,A2,1,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.8143,3.2134,0.5,1.8699,0.2475,17.4843,0.0,0.0,0.261,9128.0,10405.2,9525.9,10275.0,0.0,749.1,749.1,1,SIMULATED,-879.3000000000011,1260.8
SIM_2021-04-02_DRILL_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,DRILL_DELAY,A3,1,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.9093,0.7277,1.0,1.5028,0.2037,15.0338,0.0,0.0,0.261,9128.0,10405.2,10696.7,10275.0,0.0,0.0,0.0,1,SIMULATED,291.5,1330.7
SIM_2021-04-02_DRILL_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,DRILL_DELAY,A1+A2,2,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.8839,1.3345,0.9601,2.4129,0.2744,18.005,0.0,0.0,0.261,9128.0,10405.2,10074.3,10275.0,0.0,200.7,200.7,2,SIMULATED,-330.90000000000146,1299.8
SIM_2021-04-02_DRILL_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,DRILL_DELAY,A1+A3,2,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.9093,0.7003,1.0,1.3201,0.1908,15.3297,0.0,0.0,0.261,9128.0,10405.2,10626.4,10275.0,0.0,0.0,0.0,2,SIMULATED,221.1999999999989,1461.8
SIM_2021-04-02_DRILL_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,DRILL_DELAY,A2+A3,2,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.8398,2.0607,1.0,1.5493,0.3234,17.4934,0.0,0.0,0.261,9128.0,10405.2,9599.1,10275.0,0.0,675.9,675.9,2,SIMULATED,-806.1000000000004,1554.0
SIM_2021-04-02_DRILL_DELAY,2021-04-02,SIMULATED_HISTORY_STATE,DRILL_DELAY,A1+A2+A3,3,0.8945,0.9286,1.0,1.9313,0.2036,15.0338,0.0,0.899,1.0596,0.9601,1.6563,0.2375,18.005,0.0,0.0,0.261,9128.0,10405.2,10306.0,10275.0,0.0,0.0,0.0,3,SIMULATED,-99.20000000000073,1504.3
SIM_2021-04-02_HAULAGE_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,HAULAGE_DISRUPTION,NO_ACTION,0,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.0,0.261,9128.0,6742.8,6742.8,10275.0,3532.2,3532.2,3532.2,0,SIMULATED,0.0,0.0
SIM_2021-04-02_HAULAGE_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,HAULAGE_DISRUPTION,A1,1,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.8995,1.0496,0.9599,0.5584,0.2136,11.5188,4.5045,0.0,0.261,9128.0,6742.8,7071.5,10275.0,3532.2,3203.5,3203.5,1,SIMULATED,328.6999999999998,969.8
SIM_2021-04-02_HAULAGE_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,HAULAGE_DISRUPTION,A2,1,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.8219,2.5427,1.0,1.2206,0.1998,14.06,1.4503,0.0,0.261,9128.0,6742.8,8514.6,10275.0,3532.2,1760.4,1760.4,1,SIMULATED,1771.8000000000002,1536.5
SIM_2021-04-02_HAULAGE_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,HAULAGE_DISRUPTION,A3,1,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.872,1.6009,0.9599,0.6224,0.1993,11.4017,4.2592,0.0,0.261,9128.0,6742.8,7007.7,10275.0,3532.2,3267.3,3267.3,1,SIMULATED,264.89999999999964,1165.7
SIM_2021-04-02_HAULAGE_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,HAULAGE_DISRUPTION,A1+A2,2,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.8497,1.6889,0.9441,1.1233,0.2645,14.3741,1.201,0.0,0.261,9128.0,6742.8,8996.0,10275.0,3532.2,1279.0,1279.0,2,SIMULATED,2253.2,1633.1
SIM_2021-04-02_HAULAGE_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,HAULAGE_DISRUPTION,A1+A3,2,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.9159,0.682,1.0,0.4987,0.2527,11.4369,4.8244,0.0,0.261,9128.0,6742.8,7153.5,10275.0,3532.2,3121.5,3121.5,2,SIMULATED,410.6999999999998,1305.7
SIM_2021-04-02_HAULAGE_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,HAULAGE_DISRUPTION,A2+A3,2,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.9001,1.0106,0.9873,0.8444,0.2664,14.2518,1.2802,0.0,0.261,9128.0,6742.8,9299.5,10275.0,3532.2,975.5,975.5,2,SIMULATED,2556.7,1453.2
SIM_2021-04-02_HAULAGE_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,HAULAGE_DISRUPTION,A1+A2+A3,3,0.9179,0.682,0.9599,0.7641,0.2467,11.2929,5.0676,0.9051,0.8135,0.9454,0.9239,0.2954,14.4348,1.1888,0.0,0.261,9128.0,6742.8,9482.9,10275.0,3532.2,792.1,792.1,3,SIMULATED,2740.0999999999995,1400.0
SIM_2021-04-02_COMBINED_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,COMBINED_DISRUPTION,NO_ACTION,0,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,148.0,0.46,9128.0,4800.0,4800.0,10275.0,5475.0,5475.0,5475.0,0,SIMULATED,0.0,0.0
SIM_2021-04-02_COMBINED_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,COMBINED_DISRUPTION,A1,1,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,0.7927,2.6532,1.0,2.3792,0.4843,13.3165,1.2154,148.0,0.46,9128.0,4800.0,8142.9,10275.0,5475.0,2132.1,2132.1,1,SIMULATED,3342.8999999999996,2011.1
SIM_2021-04-02_COMBINED_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,COMBINED_DISRUPTION,A2,1,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,0.7693,3.6398,0.974,2.3831,0.9406,14.3902,0.2677,148.0,0.46,9128.0,4800.0,8606.1,10275.0,5475.0,1668.9,1668.9,1,SIMULATED,3806.1000000000004,1603.6
SIM_2021-04-02_COMBINED_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,COMBINED_DISRUPTION,A3,1,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,0.6249,7.0029,0.5,1.18,0.2107,11.8387,1.6809,148.0,0.46,9128.0,4800.0,6074.4,10275.0,5475.0,4200.6,4200.6,1,SIMULATED,1274.3999999999996,1488.8
SIM_2021-04-02_COMBINED_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,COMBINED_DISRUPTION,A1+A2,2,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,0.6636,4.6184,0.5,2.1289,1.1138,15.5892,0.0336,148.0,0.46,9128.0,4800.0,6987.4,10275.0,5475.0,3287.6,3287.6,2,SIMULATED,2187.3999999999996,2357.4
SIM_2021-04-02_COMBINED_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,COMBINED_DISRUPTION,A1+A3,2,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,0.7927,2.6532,1.0,1.3778,0.1916,13.3646,1.2044,148.0,0.46,9128.0,4800.0,8427.2,10275.0,5475.0,1847.8,1847.8,2,SIMULATED,3627.2000000000007,1516.3
SIM_2021-04-02_COMBINED_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,COMBINED_DISRUPTION,A2+A3,2,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,0.6514,5.9717,1.0,1.3745,0.2125,14.3783,0.1559,148.0,0.46,9128.0,4800.0,7749.8,10275.0,5475.0,2525.2,2525.2,2,SIMULATED,2949.8,1699.8
SIM_2021-04-02_COMBINED_DISRUPTION,2021-04-02,SIMULATED_HISTORY_STATE,COMBINED_DISRUPTION,A1+A2+A3,3,0.5892,8.2158,0.0,2.1726,2.0106,11.7726,1.1586,0.6636,4.6184,0.5,1.3498,0.1626,15.5892,0.0336,148.0,0.46,9128.0,4800.0,7682.5,10275.0,5475.0,2592.5,2592.5,3,SIMULATED,2882.5,1571.8
SIM_2021-04-16_NORMAL,2021-04-16,SIMULATED_HISTORY_STATE,NORMAL,NO_ACTION,0,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.0,0.253,11355.0,11355.0,11355.0,10275.0,0.0,0.0,0.0,0,SIMULATED,0.0,0.0
SIM_2021-04-16_NORMAL,2021-04-16,SIMULATED_HISTORY_STATE,NORMAL,A1,1,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.9624,0.2524,0.5,0.4383,0.1941,14.7322,0.0,0.0,0.253,11355.0,11355.0,11403.7,10275.0,0.0,0.0,0.0,1,SIMULATED,48.70000000000073,1132.2
SIM_2021-04-16_NORMAL,2021-04-16,SIMULATED_HISTORY_STATE,NORMAL,A2,1,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.939,1.2195,0.0,0.4722,0.3076,16.8381,0.0,0.0,0.253,11355.0,11355.0,10824.8,10275.0,0.0,0.0,0.0,1,SIMULATED,-530.2000000000007,1184.6
SIM_2021-04-16_NORMAL,2021-04-16,SIMULATED_HISTORY_STATE,NORMAL,A3,1,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.8216,3.0444,0.5,0.7339,0.1986,14.3056,0.0,0.0,0.253,11355.0,11355.0,9787.7,10275.0,0.0,487.3,487.3,1,SIMULATED,-1567.2999999999993,1384.9
SIM_2021-04-16_NORMAL,2021-04-16,SIMULATED_HISTORY_STATE,NORMAL,A1+A2,2,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.9624,0.2524,0.5,0.4676,0.1341,17.6127,0.0,0.0,0.253,11355.0,11355.0,11146.3,10275.0,0.0,0.0,0.0,2,SIMULATED,-208.70000000000073,1420.6
SIM_2021-04-16_NORMAL,2021-04-16,SIMULATED_HISTORY_STATE,NORMAL,A1+A3,2,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.9624,0.2524,0.5,0.3415,0.1941,14.7322,0.0,0.0,0.253,11355.0,11355.0,11434.8,10275.0,0.0,0.0,0.0,2,SIMULATED,79.79999999999927,1451.4
SIM_2021-04-16_NORMAL,2021-04-16,SIMULATED_HISTORY_STATE,NORMAL,A2+A3,2,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.939,1.2195,0.0,0.3543,0.3076,16.8381,0.0,0.0,0.253,11355.0,11355.0,10824.8,10275.0,0.0,0.0,0.0,2,SIMULATED,-530.2000000000007,1691.9
SIM_2021-04-16_NORMAL,2021-04-16,SIMULATED_HISTORY_STATE,NORMAL,A1+A2+A3,3,0.95,0.475,0.5,0.9412,0.2236,14.1396,0.0,0.9624,0.2524,0.5,0.4526,0.1341,17.6127,0.0,0.0,0.253,11355.0,11355.0,11146.3,10275.0,0.0,0.0,0.0,3,SIMULATED,-208.70000000000073,1553.4
SIM_2021-04-16_HEAVY_RAIN,2021-04-16,SIMULATED_HISTORY_STATE,HEAVY_RAIN,NO_ACTION,0,0.7484,5.0326,0.0,2.4927,0.1691,14.006,0.9337,0.7484,5.0326,0.0,2.4927,0.1691,14.006,0.9337,148.0,0.46,11355.0,7968.3,7968.3,10275.0,2306.7,2306.7,2306.7,0,SIMULATED,0.0,0.0
SIM_2021-04-16_HEAVY_RAIN,2021-04-16,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A1,1,0.7484,5.0326,0.0,2.4927,0.1691,14.006,0.9337,0.9578,0.3655,0.4379,2.6532,0.2394,14.3288,1.4025,148.0,0.46,11355.0,7968.3,10277.3,10275.0,2306.7,0.0,0.0,1,SIMULATED,2308.999999999999,1153.0
SIM_2021-04-16_HEAVY_RAIN,2021-04-16,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A2,1,0.7484,5.0326,0.0,2.4927,0.1691,14.006,0.9337,0.932,1.3599,0.0,1.9967,0.1484,16.0633,0.0691,148.0,0.46,11355.0,7968.3,11100.3,10275.0,2306.7,0.0,0.0,1,SIMULATED,3131.999999999999,1196.9
SIM_2021-04-16_HEAVY_RAIN,2021-04-16,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A3,1,0.7484,5.0326,0.0,2.4927,0.1691,14.006,0.9337,0.9253,0.994,0.5,1.5576,0.1111,14.033,1.4493,148.0,0.46,11355.0,7968.3,9797.1,10275.0,2306.7,477.9,477.9,1,SIMULATED,1828.8000000000002,1266.9
SIM_2021-04-16_HEAVY_RAIN,2021-04-16,SIMULATED_HISTORY_STATE,HEAVY_RAIN,A1+A2,2,0.7484,5.0326,0.0,2.4927,0.1691,14.006,0.9337,0.9624,0.2524,0.5,2.5063,0.1555,17.153,0.023,148.0,0.46,11355.0,7968.3,11384.5,10275.0,2306.7,0.0,0.0,2,SIMULATED,3416.2,1521.8
