date,mine_id,synthetic_mine_id,target_tonnes,actual_tonnes,equipment_availability,equipment_downtime_h,maintenance_hours,drilling_delay_h,blast_delay_h,truck_count,haulage_delay_h,utilization,rainfall_mm,soil_moisture_m3m3,temperature_max_c,rainfall_source,ops_data_mode,weather_data_mode
2021-01-20,DEMO_MINE,SYN_MINE_01,1500.0,1594.3,1.0,0.0,0.0,0.0,0.304,17.1,0.0,0.8018,0.0,0.252,28.8,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-21,DEMO_MINE,SYN_MINE_01,1500.0,1442.3,0.825,0.0,3.5,0.88,0.084,15.98,0.0,0.8611,0.0,0.252,29.14,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-22,DEMO_MINE,SYN_MINE_01,1500.0,1712.4,1.0,0.0,0.0,0.896,0.212,17.66,0.0,0.8635,0.0,0.252,30.17,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-23,DEMO_MINE,SYN_MINE_01,1500.0,1652.7,1.0,0.0,0.0,0.0,0.264,15.77,0.0,0.8186,0.0,0.253,30.95,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-24,DEMO_MINE,SYN_MINE_01,1275.0,1290.4,0.8641,1.301,0.0,0.315,0.145,17.18,0.0,0.7145,0.0,0.253,30.73,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-25,DEMO_MINE,SYN_MINE_01,1500.0,1388.9,1.0,0.0,0.0,2.626,0.355,16.63,1.497,0.7116,0.0,0.253,28.72,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-26,DEMO_MINE,SYN_MINE_01,1500.0,1800.7,1.0,0.0,0.0,0.0,0.0,15.92,0.0,0.8679,0.0,0.253,26.53,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-27,DEMO_MINE,SYN_MINE_01,1500.0,1356.4,0.8432,0.0,3.135,0.772,0.557,16.52,0.0,0.838,0.0,0.253,26.72,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-28,DEMO_MINE,SYN_MINE_01,1500.0,1594.3,1.0,0.0,0.0,0.0,0.548,15.67,0.0,0.8143,0.0,0.254,27.35,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-29,DEMO_MINE,SYN_MINE_01,1500.0,1670.2,1.0,0.0,0.0,0.0,0.327,17.2,0.0,0.8522,4.22,0.275,25.24,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-30,DEMO_MINE,SYN_MINE_01,1500.0,1699.1,1.0,0.0,0.0,0.0,0.237,16.27,0.0,0.8373,0.0,0.282,24.93,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-01-31,DEMO_MINE,SYN_MINE_01,1275.0,1408.9,1.0,0.0,0.0,0.0,0.565,14.92,0.0,0.7334,0.0,0.278,26.83,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-01,DEMO_MINE,SYN_MINE_01,1500.0,1731.5,1.0,0.0,0.0,0.947,0.0,17.31,0.0,0.8483,0.0,0.276,28.44,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-02,DEMO_MINE,SYN_MINE_01,1500.0,1542.8,1.0,0.0,0.0,0.055,0.984,16.54,0.0,0.8165,0.0,0.271,30.09,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-03,DEMO_MINE,SYN_MINE_01,1500.0,1714.4,1.0,0.0,0.0,2.055,0.189,17.35,0.0,0.8523,0.0,0.27,30.73,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-04,DEMO_MINE,SYN_MINE_01,1500.0,1595.7,1.0,0.0,0.0,0.523,0.589,16.62,0.0,0.8249,0.0,0.268,31.34,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-05,DEMO_MINE,SYN_MINE_01,1500.0,1706.5,1.0,0.0,0.0,0.0,0.0,16.22,0.0,0.8319,0.0,0.266,29.74,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-06,DEMO_MINE,SYN_MINE_01,1500.0,1429.8,0.825,0.0,3.5,0.0,0.405,16.86,0.0,0.8921,0.0,0.263,27.13,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-07,DEMO_MINE,SYN_MINE_01,1275.0,1451.2,1.0,0.0,0.0,0.847,0.108,16.18,0.0,0.718,0.0,0.262,27.18,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-08,DEMO_MINE,SYN_MINE_01,1500.0,1749.7,1.0,0.0,0.0,0.839,0.0,16.21,0.0,0.8426,0.0,0.261,27.99,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-09,DEMO_MINE,SYN_MINE_01,1500.0,1547.9,0.9048,1.904,0.0,0.0,0.586,16.3,0.0,0.8889,0.0,0.261,29.84,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-10,DEMO_MINE,SYN_MINE_01,1500.0,1502.8,0.8046,3.908,0.0,0.636,0.0,16.31,0.0,0.8955,0.0,0.26,31.46,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-11,DEMO_MINE,SYN_MINE_01,1500.0,1122.1,0.6374,7.251,0.0,0.215,0.014,16.22,0.0,0.8572,0.0,0.26,31.15,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-12,DEMO_MINE,SYN_MINE_01,1500.0,759.2,0.4298,7.904,3.5,0.0,0.037,17.6,0.0,0.8705,0.0,0.263,31.7,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-13,DEMO_MINE,SYN_MINE_01,1500.0,1725.5,1.0,0.0,0.0,1.057,0.506,16.6,0.0,0.8808,0.0,0.259,32.07,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-14,DEMO_MINE,SYN_MINE_01,1275.0,1401.9,1.0,0.0,0.0,1.715,0.35,17.23,0.0,0.7195,0.0,0.258,32.04,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-15,DEMO_MINE,SYN_MINE_01,1500.0,1729.7,1.0,0.0,0.0,0.0,0.38,15.45,0.0,0.8683,0.0,0.258,31.96,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-16,DEMO_MINE,SYN_MINE_01,1500.0,1806.0,1.0,0.0,0.0,0.901,0.093,16.31,0.0,0.8793,0.0,0.257,29.79,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-17,DEMO_MINE,SYN_MINE_01,1500.0,1731.5,1.0,0.0,0.0,0.382,0.0,16.06,0.0,0.8462,8.0,0.314,26.89,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-18,DEMO_MINE,SYN_MINE_01,1500.0,1652.6,1.0,0.0,0.0,0.0,0.315,15.47,0.0,0.841,1.36,0.355,27.44,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-19,DEMO_MINE,SYN_MINE_01,1500.0,1560.9,1.0,0.0,0.0,1.429,0.528,15.69,0.0,0.8081,0.35,0.349,26.85,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-20,DEMO_MINE,SYN_MINE_01,1500.0,1804.0,1.0,0.0,0.0,1.177,0.049,15.61,0.0,0.8991,0.0,0.344,29.47,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-21,DEMO_MINE,SYN_MINE_01,1275.0,1266.8,0.8958,0.839,0.0,0.042,0.096,15.65,0.0,0.6894,0.0,0.334,30.38,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-22,DEMO_MINE,SYN_MINE_01,1500.0,986.7,0.583,8.341,0.0,0.23,0.381,14.65,0.0,0.8725,0.0,0.328,31.95,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-23,DEMO_MINE,SYN_MINE_01,1500.0,1372.3,0.8155,3.691,0.0,0.184,0.555,16.21,0.0,0.8769,0.0,0.319,32.86,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-24,DEMO_MINE,SYN_MINE_01,1500.0,1709.5,1.0,0.0,0.0,0.0,0.35,16.02,0.0,0.8699,0.0,0.313,33.37,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-25,DEMO_MINE,SYN_MINE_01,1500.0,1400.4,0.825,0.0,3.5,0.923,0.045,15.96,0.0,0.8281,0.0,0.309,34.99,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-26,DEMO_MINE,SYN_MINE_01,1500.0,1847.5,1.0,0.0,0.0,0.0,0.0,16.01,0.0,0.89,0.0,0.304,35.32,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-27,DEMO_MINE,SYN_MINE_01,1500.0,1814.6,1.0,0.0,0.0,1.014,0.057,15.84,0.0,0.8862,0.0,0.298,35.56,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-02-28,DEMO_MINE,SYN_MINE_01,1275.0,1133.8,0.825,0.0,3.5,0.0,0.252,15.74,0.0,0.6985,0.0,0.291,35.22,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-01,DEMO_MINE,SYN_MINE_01,1500.0,1761.6,1.0,0.0,0.0,0.0,0.142,16.28,0.0,0.8748,0.0,0.287,36.24,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-02,DEMO_MINE,SYN_MINE_01,1500.0,1708.4,1.0,0.0,0.0,0.804,0.186,15.45,0.0,0.8563,0.0,0.285,34.53,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-03,DEMO_MINE,SYN_MINE_01,1500.0,814.9,1.0,0.0,0.0,3.735,0.148,16.59,5.332,0.4137,0.0,0.277,33.86,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-04,DEMO_MINE,SYN_MINE_01,1500.0,1641.5,1.0,0.0,0.0,2.766,0.341,15.3,0.0,0.8271,0.0,0.27,35.72,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-05,DEMO_MINE,SYN_MINE_01,1500.0,1735.7,1.0,0.0,0.0,1.769,0.273,14.49,0.0,0.8833,0.0,0.27,35.84,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-06,DEMO_MINE,SYN_MINE_01,1500.0,1680.8,1.0,0.0,0.0,0.0,0.415,15.53,0.0,0.8366,0.0,0.268,35.33,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-07,DEMO_MINE,SYN_MINE_01,1275.0,1590.0,1.0,0.0,0.0,0.371,0.096,14.25,0.098,0.7779,0.0,0.265,36.6,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-08,DEMO_MINE,SYN_MINE_01,1500.0,1746.2,1.0,0.0,0.0,2.663,0.004,14.57,0.0,0.8682,0.0,0.262,36.56,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-09,DEMO_MINE,SYN_MINE_01,1500.0,1686.0,1.0,0.0,0.0,1.551,0.198,15.28,0.0,0.846,0.0,0.259,36.29,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-10,DEMO_MINE,SYN_MINE_01,1500.0,1781.2,1.0,0.0,0.0,0.939,0.0,15.23,0.0,0.8805,0.0,0.258,36.33,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-11,DEMO_MINE,SYN_MINE_01,1500.0,1741.3,1.0,0.0,0.0,0.0,0.123,15.85,0.0,0.8455,0.0,0.257,35.6,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-12,DEMO_MINE,SYN_MINE_01,1500.0,1353.4,0.8381,3.237,0.0,0.0,0.12,16.2,0.0,0.8078,0.0,0.256,33.94,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-13,DEMO_MINE,SYN_MINE_01,1500.0,1395.9,0.825,0.0,3.5,0.0,0.802,16.55,0.0,0.8724,7.52,0.255,33.06,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-14,DEMO_MINE,SYN_MINE_01,1275.0,1528.4,1.0,0.0,0.0,0.69,0.0,15.59,0.0,0.7419,0.0,0.258,34.49,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-15,DEMO_MINE,SYN_MINE_01,1500.0,1875.0,1.0,0.0,0.0,1.356,0.127,16.16,0.0,0.913,0.0,0.267,35.41,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-16,DEMO_MINE,SYN_MINE_01,1500.0,1078.7,0.6565,6.87,0.0,0.0,0.048,16.36,0.0,0.8201,0.0,0.266,34.89,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-17,DEMO_MINE,SYN_MINE_01,1500.0,1441.5,0.825,0.0,3.5,0.0,0.0,16.16,0.0,0.8349,0.0,0.261,35.22,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-18,DEMO_MINE,SYN_MINE_01,1500.0,1818.0,1.0,0.0,0.0,0.307,0.377,14.92,0.0,0.8997,0.0,0.268,34.38,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-19,DEMO_MINE,SYN_MINE_01,1500.0,1589.5,1.0,0.0,0.0,2.557,0.217,16.42,0.0,0.7909,0.38,0.285,30.42,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-20,DEMO_MINE,SYN_MINE_01,1500.0,1742.9,1.0,0.0,0.0,1.097,0.028,15.89,0.0,0.8708,0.66,0.291,33.07,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-21,DEMO_MINE,SYN_MINE_01,1275.0,1247.3,0.8484,3.031,0.0,3.333,0.0,15.12,0.0,0.735,3.38,0.291,34.61,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-22,DEMO_MINE,SYN_MINE_01,1500.0,1659.6,0.9474,1.052,0.0,3.006,0.216,15.77,0.0,0.8736,0.0,0.292,33.47,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-23,DEMO_MINE,SYN_MINE_01,1500.0,1198.8,0.6691,6.617,0.0,1.411,0.188,16.12,0.0,0.8928,0.49,0.301,29.83,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-24,DEMO_MINE,SYN_MINE_01,1500.0,1302.6,0.7682,4.636,0.0,0.0,0.15,15.97,0.0,0.8591,0.0,0.301,34.77,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-25,DEMO_MINE,SYN_MINE_01,1500.0,1845.4,1.0,0.0,0.0,0.0,0.0,16.38,0.0,0.8874,0.0,0.297,36.16,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-26,DEMO_MINE,SYN_MINE_01,1500.0,1689.4,1.0,0.0,0.0,0.876,0.7,15.4,0.0,0.8821,0.0,0.293,35.6,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-27,DEMO_MINE,SYN_MINE_01,1500.0,1830.7,1.0,0.0,0.0,0.0,0.0,15.61,0.0,0.8527,0.0,0.285,37.38,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-28,DEMO_MINE,SYN_MINE_01,1275.0,1442.5,1.0,0.0,0.0,0.0,0.0,15.03,0.0,0.7008,0.0,0.28,38.89,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-29,DEMO_MINE,SYN_MINE_01,1500.0,1367.5,0.8455,0.0,3.09,0.885,0.167,15.82,0.0,0.8137,0.0,0.28,40.14,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-30,DEMO_MINE,SYN_MINE_01,1500.0,1729.2,1.0,0.0,0.0,2.057,0.0,15.72,0.0,0.8304,0.0,0.278,39.74,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-03-31,DEMO_MINE,SYN_MINE_01,1500.0,1761.5,1.0,0.0,0.0,0.0,0.046,15.52,0.0,0.876,0.0,0.272,39.18,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-01,DEMO_MINE,SYN_MINE_01,1500.0,1301.5,0.766,3.705,0.0,0.0,0.0,15.81,0.0,0.8351,0.0,0.266,38.43,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-02,DEMO_MINE,SYN_MINE_01,1500.0,1463.7,0.857,2.86,0.0,0.0,0.055,14.11,0.0,0.8415,0.0,0.262,39.23,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-03,DEMO_MINE,SYN_MINE_01,1500.0,1316.3,0.7439,1.702,3.376,1.352,0.013,14.65,0.0,0.8601,0.0,0.266,39.18,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-04,DEMO_MINE,SYN_MINE_01,1275.0,1425.2,1.0,0.0,0.0,1.548,0.231,16.06,0.0,0.721,0.0,0.27,39.28,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-05,DEMO_MINE,SYN_MINE_01,1500.0,1592.6,1.0,0.0,0.0,0.139,0.55,15.7,0.0,0.8081,0.0,0.264,40.13,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-06,DEMO_MINE,SYN_MINE_01,1500.0,1730.7,1.0,0.0,0.0,1.306,0.057,15.23,0.0,0.8545,0.0,0.256,40.8,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-07,DEMO_MINE,SYN_MINE_01,1500.0,1626.2,1.0,0.0,0.0,0.898,0.478,16.09,0.0,0.8393,0.0,0.255,40.7,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-08,DEMO_MINE,SYN_MINE_01,1500.0,1863.5,1.0,0.0,0.0,0.0,0.02,16.5,0.0,0.9247,0.0,0.255,40.28,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-09,DEMO_MINE,SYN_MINE_01,1500.0,1750.1,1.0,0.0,0.0,0.771,0.294,15.9,0.0,0.861,0.0,0.254,38.25,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-10,DEMO_MINE,SYN_MINE_01,1500.0,1675.1,1.0,0.0,0.0,0.884,0.355,15.75,0.0,0.8581,0.0,0.247,38.32,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-11,DEMO_MINE,SYN_MINE_01,1275.0,1379.5,1.0,0.0,0.0,0.838,0.424,16.52,0.0,0.7085,0.76,0.245,36.47,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-12,DEMO_MINE,SYN_MINE_01,1500.0,1666.8,1.0,0.0,0.0,0.0,0.335,15.84,0.0,0.8381,0.0,0.245,37.2,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-13,DEMO_MINE,SYN_MINE_01,1500.0,1843.8,1.0,0.0,0.0,1.386,0.27,15.31,0.0,0.9122,0.0,0.247,38.74,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-14,DEMO_MINE,SYN_MINE_01,1500.0,1366.8,0.825,0.0,3.5,1.109,0.243,16.6,0.0,0.8366,0.0,0.247,37.89,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-15,DEMO_MINE,SYN_MINE_01,1500.0,1180.0,0.6912,6.177,0.0,0.787,0.011,16.04,0.0,0.8416,0.0,0.247,35.64,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
2021-04-16,DEMO_MINE,SYN_MINE_01,1500.0,622.5,0.3751,12.498,0.0,0.0,0.163,15.29,0.0,0.8478,0.0,0.247,38.24,IMD gridded 0.25deg (REAL_GOVERNMENT),SYNTHETIC,REAL_GOVERNMENT
