fold,origin,period_end,train_rows,train_last_origin,actual,target,raw_p10,raw_p50,raw_p90,p10,p50,p90,oracle_p50,naive,ma4,calibrated,window
1,2023-10-06,2023-10-12,918,2023-09-29,5534.1,10585.3,7875.3,8195.3,8508.0,7875.3,8195.3,8508.0,6954.9,8244.1,7214.0,False,calibration
1,2023-10-13,2023-10-19,918,2023-09-29,6107.4,10585.3,6789.2,6994.6,6999.9,6789.2,6994.6,6999.9,6904.4,5534.1,7112.4,False,calibration
1,2023-10-20,2023-10-26,918,2023-09-29,9141.8,10585.3,6810.7,6812.0,6903.1,6810.7,6812.0,6903.1,8921.2,6107.4,6822.7,False,calibration
1,2023-10-27,2023-11-02,918,2023-09-29,9248.5,10585.3,7996.6,8865.5,9266.7,7996.6,8865.5,9266.7,9089.6,9141.8,7256.9,False,calibration
1,2023-11-03,2023-11-09,918,2023-09-29,8756.0,10585.3,8375.6,9133.5,9682.6,8375.6,9133.5,9682.6,8771.8,9248.5,7507.9,False,calibration
1,2023-11-10,2023-11-16,918,2023-09-29,8969.1,10585.3,7999.2,8727.1,9026.2,7999.2,8727.1,9026.2,8875.4,8756.0,8313.4,False,calibration
1,2023-11-17,2023-11-23,918,2023-09-29,9634.1,10585.3,8275.3,9008.3,9288.9,8275.3,9008.3,9288.9,9400.2,8969.1,9028.8,False,calibration
1,2023-11-24,2023-11-30,918,2023-09-29,9453.7,10585.3,8609.2,9406.7,9517.5,8609.2,9406.7,9517.5,9465.7,9634.1,9151.9,False,calibration
1,2023-12-01,2023-12-07,918,2023-09-29,9285.8,10585.3,8886.7,9496.9,9893.8,8886.7,9496.9,9893.8,9155.2,9453.7,9203.2,False,calibration
1,2023-12-08,2023-12-14,918,2023-09-29,8715.3,10585.3,8986.1,9207.3,9313.6,8986.1,9207.3,9313.6,9194.4,9285.8,9335.7,False,calibration
1,2023-12-15,2023-12-21,918,2023-09-29,9253.8,10585.3,8583.2,9178.1,9379.0,8583.2,9178.1,9379.0,9341.2,8715.3,9272.2,False,calibration
1,2023-12-22,2023-12-28,918,2023-09-29,8226.2,10585.3,8795.5,9324.7,9552.5,8795.5,9324.7,9552.5,8767.8,9253.8,9177.1,False,calibration
1,2023-12-29,2024-01-04,918,2023-09-29,6660.0,10585.3,8298.1,8744.9,9168.6,8298.1,8744.9,9168.6,7138.2,8226.2,8870.3,False,calibration
2,2024-01-05,2024-01-11,1009,2023-12-29,8594.8,10585.3,6686.4,6694.7,7248.0,6686.4,6694.7,7248.0,8297.4,6660.0,8213.8,False,calibration
2,2024-01-12,2024-01-18,1009,2023-12-29,8795.7,10585.3,8369.7,8381.8,8675.8,8369.7,8381.8,8675.8,9005.9,8594.8,8183.7,False,calibration
2,2024-01-19,2024-01-25,1009,2023-12-29,8557.0,10585.3,8927.8,8943.3,9265.0,8927.8,8943.3,9265.0,8740.9,8795.7,8069.2,False,calibration
2,2024-01-26,2024-02-01,1009,2023-12-29,8615.1,10585.3,8682.4,8717.4,9142.7,8682.4,8717.4,9142.7,8889.0,8557.0,8151.9,False,calibration
2,2024-02-02,2024-02-08,1009,2023-12-29,7864.8,10585.3,8862.9,8908.0,9320.8,8862.9,8908.0,9320.8,8311.8,8615.1,8640.6,False,calibration
2,2024-02-09,2024-02-15,1009,2023-12-29,6471.5,10585.3,7329.7,8280.8,8537.5,7329.7,8280.8,8537.5,7445.9,7864.8,8458.2,False,calibration
2,2024-02-16,2024-02-22,1009,2023-12-29,9553.0,10585.3,6849.0,7504.4,7713.8,6849.0,7504.4,7713.8,9693.2,6471.5,7877.1,False,calibration
2,2024-02-23,2024-02-29,1009,2023-12-29,8895.4,10585.3,9240.1,9623.5,9820.3,9240.1,9623.5,9820.3,8641.8,9553.0,8126.1,False,calibration
2,2024-03-01,2024-03-07,1009,2023-12-29,9056.1,10585.3,8577.4,8755.3,9114.6,8577.4,8755.3,9114.6,8719.1,8895.4,8196.2,False,calibration
2,2024-03-08,2024-03-14,1009,2023-12-29,9031.5,10585.3,8581.9,8721.1,9014.5,8581.9,8721.1,9014.5,8829.2,9056.1,8494.0,False,calibration
2,2024-03-15,2024-03-21,1009,2023-12-29,9489.9,10585.3,8825.2,8877.7,9577.3,8825.2,8877.7,9577.3,9903.3,9031.5,9134.0,False,calibration
2,2024-03-22,2024-03-28,1009,2023-12-29,10617.9,10585.3,9586.1,10018.3,10097.1,9586.1,10018.3,10097.1,10556.7,9489.9,9118.2,False,calibration
2,2024-03-29,2024-04-04,1009,2023-12-29,10555.8,10678.1,10202.1,10617.2,10915.7,10202.1,10617.2,10915.7,10620.6,10617.9,9548.8,False,calibration
3,2024-04-05,2024-04-11,1100,2024-03-29,10040.4,10744.2,10403.7,10571.7,10911.0,10403.7,10571.7,10911.0,9876.5,10555.8,9923.8,False,calibration
3,2024-04-12,2024-04-18,1100,2024-03-29,10926.4,10744.2,9792.4,9900.4,10204.5,9792.4,9900.4,10204.5,10654.8,10040.4,10176.0,False,calibration
3,2024-04-19,2024-04-25,1100,2024-03-29,10759.3,10744.2,10353.0,10365.1,10924.7,10353.0,10365.1,10924.7,11200.8,10926.4,10535.1,False,calibration
3,2024-04-26,2024-05-02,1100,2024-03-29,11158.8,10744.2,10623.9,11213.9,11534.6,10623.9,11213.9,11534.6,11137.9,10759.3,10570.5,False,calibration
3,2024-05-03,2024-05-09,1100,2024-03-29,10334.6,10744.2,10862.2,11150.3,11389.5,10862.2,11150.3,11389.5,10646.5,11158.8,10721.2,False,calibration
3,2024-05-10,2024-05-16,1100,2024-03-29,8986.1,10744.2,10511.7,10609.3,10707.3,10511.7,10609.3,10707.3,8917.8,10334.6,10794.8,False,calibration
3,2024-05-17,2024-05-23,1100,2024-03-29,6971.4,10744.2,8865.9,8895.4,9162.0,8865.9,8895.4,9162.0,7233.7,8986.1,10309.7,False,calibration
3,2024-05-24,2024-05-30,1100,2024-03-29,8916.8,10744.2,6942.9,7293.3,7430.1,6942.9,7293.3,7430.1,9209.0,6971.4,9362.7,False,calibration
3,2024-05-31,2024-06-06,1100,2024-03-29,10350.8,10744.2,8866.7,8999.2,9265.0,8866.7,8999.2,9265.0,10183.9,8916.8,8802.2,False,calibration
3,2024-06-07,2024-06-13,1100,2024-03-29,9112.6,10744.2,10005.4,10203.9,11045.4,10005.4,10203.9,11045.4,9354.4,10350.8,8806.3,False,calibration
3,2024-06-14,2024-06-20,1100,2024-03-29,8626.4,10744.2,9006.4,9245.2,9351.0,9006.4,9245.2,9351.0,8990.4,9112.6,8837.9,False,calibration
3,2024-06-21,2024-06-27,1100,2024-03-29,8008.5,10744.2,8864.7,8906.5,9318.8,8864.7,8906.5,9318.8,7702.7,8626.4,9251.7,False,calibration
3,2024-06-28,2024-07-04,1100,2024-03-29,7587.3,10117.0,7331.0,7739.3,8315.8,7331.0,7739.3,8315.8,8373.1,8008.5,9024.6,False,calibration
0,2024-07-05,2024-07-11,1191,2024-06-28,7569.5,9670.1,7687.1,7701.4,8365.2,6649.7,7375.9,8920.7,8072.9,7587.3,8333.7,True,test
0,2024-07-12,2024-07-18,1191,2024-06-28,6217.3,9670.1,7851.6,8234.4,8438.5,6742.4,7886.4,9032.5,7159.4,7569.5,7947.9,True,test
0,2024-07-19,2024-07-25,1191,2024-06-28,6103.6,9670.1,6878.4,7095.0,7530.5,5922.7,6795.1,8042.3,6659.3,6217.3,7345.6,True,test
0,2024-07-26,2024-08-01,1191,2024-06-28,6917.6,9670.1,6579.8,6719.1,7620.9,5674.7,6435.1,8105.6,6733.1,6103.6,6869.4,True,test
0,2024-08-02,2024-08-08,1191,2024-06-28,6642.9,9670.1,6569.1,6657.3,7308.6,5672.3,6376.0,7788.9,7124.6,6917.6,6702.0,True,test
0,2024-08-09,2024-08-15,1191,2024-06-28,6963.2,9670.1,7138.1,7140.1,7497.7,6176.3,6838.4,8012.7,7776.3,6642.9,6470.3,True,test
0,2024-08-16,2024-08-22,1191,2024-06-28,6504.0,9670.1,7653.5,7725.6,8446.8,6612.9,7399.1,9004.1,7575.0,6963.2,6656.8,True,test
0,2024-08-23,2024-08-29,1191,2024-06-28,7440.6,9670.1,7361.9,7591.4,8052.7,6339.4,7270.5,8600.3,7850.7,6504.0,6756.9,True,test
0,2024-08-30,2024-09-05,1191,2024-06-28,8211.6,9670.1,7514.1,7776.4,8288.7,6466.6,7447.7,8849.6,8889.9,7440.6,6887.7,True,test
0,2024-09-06,2024-09-12,1191,2024-06-28,7455.5,9670.1,8131.2,8839.7,9170.4,6940.4,8466.1,9808.0,8057.8,8211.6,7279.9,True,test
0,2024-09-13,2024-09-19,1191,2024-06-28,9210.7,9670.1,7611.0,8062.7,9172.5,6524.9,7722.0,9754.1,9521.1,7455.5,7402.9,True,test
0,2024-09-20,2024-09-26,1191,2024-06-28,8367.3,9670.1,8971.5,9590.0,9683.7,7679.7,9184.7,10375.4,8822.3,9210.7,8079.6,True,test
0,2024-09-27,2024-10-03,1191,2024-06-28,9544.1,10140.5,8638.7,8840.8,9394.0,7447.8,8467.2,10031.7,9319.2,8367.3,8311.3,True,test
1,2024-10-04,2024-10-10,1282,2024-09-27,9839.9,10744.2,9256.0,9408.5,9461.5,7988.7,9010.9,10140.1,9722.9,9544.1,8644.4,True,test
1,2024-10-11,2024-10-17,1282,2024-09-27,9140.2,10744.2,9734.0,9891.3,9979.9,8401.6,9473.2,10693.3,9481.2,9839.9,9240.5,True,test
1,2024-10-18,2024-10-24,1282,2024-09-27,10969.9,10744.2,8733.3,9284.6,10085.8,7482.6,8892.3,10755.6,10462.1,9140.2,9222.9,True,test
1,2024-10-25,2024-10-31,1282,2024-09-27,11233.4,10744.2,10447.1,10546.4,10993.6,9026.5,10100.7,11754.4,11241.9,10969.9,9873.5,True,test
1,2024-11-01,2024-11-07,1282,2024-09-27,10819.0,10744.2,10977.4,11334.4,11600.2,9450.7,10855.4,12417.8,11102.5,11233.4,10295.9,True,test
1,2024-11-08,2024-11-14,1282,2024-09-27,11674.7,10744.2,10896.1,11075.5,11433.7,9404.2,10607.4,12232.7,11365.9,10819.0,10540.6,True,test
1,2024-11-15,2024-11-21,1282,2024-09-27,11445.8,10744.2,10961.7,11357.3,11746.2,9431.8,10877.3,12565.4,11180.8,11674.7,11174.3,True,test
1,2024-11-22,2024-11-28,1282,2024-09-27,10688.3,10744.2,10981.7,11160.5,11553.0,9478.4,10688.9,12358.0,10918.3,11445.8,11293.2,True,test
1,2024-11-29,2024-12-05,1282,2024-09-27,10544.5,10744.2,10928.9,10973.5,11017.3,9450.8,10509.7,11808.9,10922.7,10688.3,11157.0,True,test
1,2024-12-06,2024-12-12,1282,2024-09-27,10405.3,10744.2,10850.1,10949.9,11081.2,9375.1,10487.1,11871.1,11003.9,10544.5,11088.3,True,test
1,2024-12-13,2024-12-19,1282,2024-09-27,10369.7,10744.2,10825.2,11004.0,11419.5,9343.0,10539.0,12213.3,10718.8,10405.3,10771.0,True,test
1,2024-12-20,2024-12-26,1282,2024-09-27,11046.3,10744.2,10647.1,10710.9,11120.7,9204.3,10258.2,11893.3,11233.0,10369.7,10502.0,True,test
1,2024-12-27,2025-01-02,1282,2024-09-27,11128.1,10744.2,10920.7,11231.4,11429.0,9407.9,10756.7,12239.1,11616.9,11046.3,10591.5,True,test
2,2025-01-03,2025-01-09,1373,2024-12-27,11394.3,10744.2,11063.5,11356.6,11636.6,9533.8,10876.6,12455.8,11306.1,11128.1,10737.4,True,test
2,2025-01-10,2025-01-16,1373,2024-12-27,11505.1,10744.2,11055.0,11429.4,11709.5,9515.4,10946.4,12534.0,11425.2,11394.3,10984.6,True,test
2,2025-01-17,2025-01-23,1373,2024-12-27,11753.1,10744.2,11001.6,11472.0,11664.6,9456.3,10987.2,12492.1,11421.0,11505.1,11268.5,True,test
2,2025-01-24,2025-01-30,1373,2024-12-27,10919.4,10744.2,10936.6,11399.4,11610.9,9401.1,10917.6,12433.2,11365.8,11753.1,11445.1,True,test
2,2025-01-31,2025-02-06,1373,2024-12-27,10990.8,10744.2,10900.0,11276.2,11605.0,9381.1,10799.6,12418.4,11116.2,10919.4,11393.0,True,test
2,2025-02-07,2025-02-13,1373,2024-12-27,10954.8,10744.2,11100.5,11360.8,11565.3,9570.2,10880.7,12384.8,11480.9,10990.8,11292.1,True,test
2,2025-02-14,2025-02-20,1373,2024-12-27,10939.8,10744.2,11105.0,11489.6,11758.2,9557.3,11004.0,12587.0,11462.6,10954.8,11154.5,True,test
2,2025-02-21,2025-02-27,1373,2024-12-27,12090.6,10744.2,11075.7,11506.3,11606.3,9525.8,11020.0,12436.3,12009.8,10939.8,10951.2,True,test
2,2025-02-28,2025-03-06,1373,2024-12-27,11708.5,10744.2,11384.0,12091.7,12229.3,9755.3,11580.7,13101.5,11820.4,12090.6,11244.0,True,test
2,2025-03-07,2025-03-13,1373,2024-12-27,11347.7,10744.2,11264.2,11676.5,11911.2,9691.4,11183.0,12753.5,11450.6,11708.5,11423.4,True,test
2,2025-03-14,2025-03-20,1373,2024-12-27,8912.0,10744.2,11177.6,11406.1,11715.8,9641.2,10924.0,12538.5,9447.3,11347.7,11521.6,True,test
2,2025-03-21,2025-03-27,1373,2024-12-27,9370.0,10744.2,9222.1,9567.5,9881.3,7933.3,9163.1,10571.5,9901.2,8912.0,11014.7,True,test
2,2025-03-28,2025-04-03,1373,2024-12-27,10784.7,10814.7,9770.5,9883.8,10110.2,8439.2,9466.1,10823.2,11468.5,9370.0,10334.5,True,test
3,2025-04-04,2025-04-10,1464,2025-03-28,11663.7,10905.2,11092.0,11333.8,11959.3,9565.4,10854.8,12776.9,11480.2,10784.7,10103.6,True,test
3,2025-04-11,2025-04-17,1464,2025-03-28,11239.3,10905.2,11229.2,11685.1,11799.1,9655.2,11191.3,12642.0,12044.3,11663.7,10182.6,True,test
3,2025-04-18,2025-04-24,1464,2025-03-28,11289.4,10905.2,11406.5,11846.6,12171.1,9810.8,11345.9,13025.6,11804.9,11239.3,10764.4,True,test
3,2025-04-25,2025-05-01,1464,2025-03-28,11405.2,10905.2,11279.0,11770.7,12158.6,9693.5,11273.3,13007.7,11653.5,11289.4,11244.3,True,test
3,2025-05-02,2025-05-08,1464,2025-03-28,10853.4,10905.2,11240.4,11672.2,12117.3,9668.2,11179.0,12959.3,10806.0,11405.2,11399.4,True,test
3,2025-05-09,2025-05-15,1464,2025-03-28,10199.4,10905.2,10626.9,10797.4,10975.3,9172.5,10341.1,11754.2,10745.8,10853.4,11196.8,True,test
3,2025-05-16,2025-05-22,1464,2025-03-28,10662.4,10905.2,10434.8,10747.4,10883.4,8987.1,10293.2,11658.7,11063.3,10199.4,10936.9,True,test
3,2025-05-23,2025-05-29,1464,2025-03-28,10452.4,10905.2,10904.7,11069.2,11089.0,9413.6,10601.4,11887.5,10824.6,10662.4,10780.1,True,test
3,2025-05-30,2025-06-05,1464,2025-03-28,11147.4,10905.2,10599.0,10853.5,11239.8,9137.0,10394.8,12022.7,11407.4,10452.4,10541.9,True,test
3,2025-06-06,2025-06-12,1464,2025-03-28,11905.3,10905.2,11084.3,11461.8,11848.9,9540.3,10977.4,12675.7,11960.1,11147.4,10615.4,True,test
3,2025-06-13,2025-06-19,1464,2025-03-28,10740.9,10905.2,11455.0,12057.6,12180.8,9830.8,11548.0,13050.5,11004.8,11905.3,11041.9,True,test
3,2025-06-20,2025-06-26,1464,2025-03-28,7569.9,10905.2,10142.5,10688.8,11246.7,8702.7,10237.1,12017.8,8324.2,10740.9,11061.5,True,test
3,2025-06-27,2025-07-03,1464,2025-03-28,7144.1,10427.6,7786.2,8539.8,8886.0,6635.8,8178.9,9502.0,8308.0,7569.9,10340.9,True,test
4,2025-07-04,2025-07-10,1555,2025-06-27,5357.5,9814.7,6960.3,7734.7,8005.1,5918.5,7407.9,8563.0,6770.3,7144.1,9340.0,True,test
4,2025-07-11,2025-07-17,1555,2025-06-27,9051.1,9814.7,6223.1,6844.3,7386.3,5301.1,6555.0,7880.0,9765.3,5357.5,7703.1,True,test
4,2025-07-18,2025-07-24,1555,2025-06-27,8455.9,9814.7,8738.6,9622.8,9912.2,7442.4,9216.1,10606.4,9333.5,9051.1,7280.6,True,test
4,2025-07-25,2025-07-31,1555,2025-06-27,8173.7,9814.7,8004.3,9357.0,9377.1,6743.9,8961.6,10052.1,9053.9,8455.9,7502.1,True,test
4,2025-08-01,2025-08-07,1555,2025-06-27,11201.9,9814.7,7674.7,9125.1,9327.1,6445.5,8739.5,9985.3,10731.4,8173.7,7759.5,True,test
4,2025-08-08,2025-08-14,1555,2025-06-27,8860.4,9814.7,10568.2,10794.3,11084.1,9114.2,10338.2,11862.7,9501.9,11201.9,9220.6,True,test
4,2025-08-15,2025-08-21,1555,2025-06-27,6811.3,9814.7,8903.5,9906.0,10087.6,7569.1,9487.3,10802.1,8101.5,8860.4,9173.0,True,test
4,2025-08-22,2025-08-28,1555,2025-06-27,7955.0,9814.7,6568.7,8187.9,8486.4,5465.8,7841.8,9077.1,9437.8,6811.3,8761.8,True,test
4,2025-08-29,2025-09-04,1555,2025-06-27,8403.3,9814.7,8342.6,9359.6,9739.4,7081.8,8964.0,10414.6,9251.3,7955.0,8707.1,True,test
4,2025-09-05,2025-09-11,1555,2025-06-27,9698.6,9814.7,8218.1,9200.9,9430.5,6978.7,8812.0,10094.2,10292.1,8403.3,8007.5,True,test
4,2025-09-12,2025-09-18,1555,2025-06-27,8213.4,9814.7,9842.2,10206.4,10670.2,8467.4,9775.1,11406.4,9374.6,9698.6,8217.1,True,test
4,2025-09-19,2025-09-25,1555,2025-06-27,9311.7,9814.7,8540.9,9394.3,9749.8,7275.5,8997.2,10427.5,10002.5,8213.4,8567.6,True,test
4,2025-09-26,2025-10-02,1555,2025-06-27,8622.8,10133.1,9753.1,9987.9,10037.5,8407.7,9565.8,10757.9,9372.3,9311.7,8906.8,True,test
5,2025-10-03,2025-10-09,1646,2025-09-26,9074.5,10905.2,8363.1,8692.4,8831.0,7192.3,8325.0,9458.0,8763.8,8622.8,8961.6,True,test
5,2025-10-10,2025-10-16,1646,2025-09-26,10978.1,10905.2,8646.1,8773.3,9123.3,7464.3,8402.6,9756.1,10281.0,9074.5,8805.6,True,test
5,2025-10-17,2025-10-23,1646,2025-09-26,10675.8,10905.2,10295.2,10343.6,10586.3,8901.9,9906.4,11332.4,10862.0,10978.1,9496.8,True,test
5,2025-10-24,2025-10-30,1646,2025-09-26,10747.4,10905.2,10563.0,10880.2,11097.0,9097.4,10420.4,11881.8,11115.6,10675.8,9837.8,True,test
5,2025-10-31,2025-11-06,1646,2025-09-26,11335.6,10905.2,10512.9,11068.1,11144.9,9022.0,10600.3,11943.3,11000.9,10747.4,10369.0,True,test
5,2025-11-07,2025-11-13,1646,2025-09-26,10156.6,10905.2,10938.1,11042.6,11219.4,9450.7,10575.9,12015.9,10440.8,11335.6,10934.2,True,test
5,2025-11-14,2025-11-20,1646,2025-09-26,8507.9,10905.2,10211.3,10220.1,10942.3,8834.7,9788.2,11679.5,8034.6,10156.6,10728.9,True,test
5,2025-11-21,2025-11-27,1646,2025-09-26,8944.0,10905.2,7923.4,8354.1,8885.4,6798.1,8001.0,9488.0,9030.0,8507.9,10186.9,True,test
5,2025-11-28,2025-12-04,1646,2025-09-26,11335.9,10905.2,8516.1,8977.4,9060.2,7306.8,8598.0,9707.8,11383.1,8944.0,9736.0,True,test
5,2025-12-05,2025-12-11,1646,2025-09-26,12070.9,10905.2,11034.1,11459.7,11751.8,9490.4,10975.4,12578.4,11734.0,11335.9,9736.1,True,test
5,2025-12-12,2025-12-18,1646,2025-09-26,11454.2,10905.2,11523.6,11841.1,11844.3,9928.6,11340.7,12698.4,11690.5,12070.9,10214.7,True,test
5,2025-12-19,2025-12-25,1646,2025-09-26,10989.0,10905.2,11442.2,11699.5,12052.6,9866.3,11205.0,12896.6,11248.3,11454.2,10951.2,True,test
5,2025-12-26,2026-01-01,1646,2025-09-26,11181.4,10905.2,10696.7,11085.5,11233.8,9203.5,10617.0,12033.4,11198.7,10989.0,11462.5,True,test
6,2026-01-02,2026-01-08,1737,2025-12-26,11610.1,10905.2,11101.3,11204.4,11707.8,9592.1,10730.9,12516.0,11543.3,11181.4,11423.9,True,test
6,2026-01-09,2026-01-15,1737,2025-12-26,11128.0,10905.2,11448.1,11541.6,11974.7,9893.4,11053.8,12807.2,11332.1,11610.1,11308.7,True,test
6,2026-01-16,2026-01-22,1737,2025-12-26,11407.4,10905.2,11075.5,11456.0,11866.0,9532.3,10971.9,12692.4,11568.0,11128.0,11227.1,True,test
6,2026-01-23,2026-01-29,1737,2025-12-26,11131.1,10905.2,11539.3,11583.4,12028.6,9979.0,11093.9,12864.2,11435.5,11407.4,11331.7,True,test
6,2026-01-30,2026-02-05,1737,2025-12-26,10721.2,10905.2,11049.1,11370.4,11690.3,9517.5,10889.9,12510.5,11157.7,11131.1,11319.1,True,test
6,2026-02-06,2026-02-12,1737,2025-12-26,10184.4,10905.2,10948.7,11122.3,11693.2,9450.5,10652.3,12495.5,9999.7,10721.2,11096.9,True,test
6,2026-02-13,2026-02-19,1737,2025-12-26,10035.8,10905.2,9779.5,10034.2,10587.1,8427.8,9610.1,11310.9,10681.7,10184.4,10861.0,True,test
6,2026-02-20,2026-02-26,1737,2025-12-26,11247.8,10905.2,10687.5,10726.8,11022.4,9242.6,10273.4,11796.2,11524.1,10035.8,10518.1,True,test
6,2026-02-27,2026-03-05,1737,2025-12-26,11791.8,10905.2,11102.0,11526.8,11898.9,9549.4,11039.7,12730.4,11665.1,11247.8,10547.3,True,test
6,2026-03-06,2026-03-12,1737,2025-12-26,11241.4,10905.2,11467.3,11630.7,11912.2,9900.6,11139.2,12751.2,11351.5,11791.8,10815.0,True,test
6,2026-03-13,2026-03-19,1737,2025-12-26,11472.5,10905.2,11041.7,11209.1,11667.8,9531.8,10735.4,12476.4,11531.7,11241.4,11079.2,True,test
6,2026-03-20,2026-03-26,1737,2025-12-26,9489.9,10905.2,11237.8,11586.5,12005.7,9677.1,11096.8,12841.5,9713.1,11472.5,11438.4,True,test
6,2026-03-27,2026-04-02,1737,2025-12-26,7688.8,10953.0,9095.5,9099.4,9957.4,7869.8,8714.8,10613.8,7907.5,9489.9,10998.9,True,test
7,2026-04-03,2026-04-09,1828,2026-03-27,9977.9,11068.9,7585.5,7754.4,8117.9,6541.0,7426.7,8677.3,10188.0,7688.8,9973.1,True,test
7,2026-04-10,2026-04-16,1828,2026-03-27,10068.2,11068.9,10292.5,10609.8,10626.2,8863.4,10161.4,11391.6,10408.3,9977.9,9657.3,True,test
7,2026-04-17,2026-04-23,1828,2026-03-27,10477.1,11068.9,10068.0,10300.5,10506.9,8680.5,9865.2,11249.9,10631.5,10068.2,9306.2,True,test
7,2026-04-24,2026-04-30,1828,2026-03-27,9869.9,11068.9,10254.4,10624.2,10630.4,8823.4,10175.2,11396.8,10519.0,10477.1,9553.0,True,test
7,2026-05-01,2026-05-07,1828,2026-03-27,9990.9,11068.9,9946.5,10428.3,10588.5,8541.8,9987.6,11340.8,10218.8,9869.9,10098.3,True,test
7,2026-05-08,2026-05-14,1828,2026-03-27,9815.0,11068.9,9853.2,10287.6,10402.0,8467.4,9852.8,11144.1,10159.5,9990.9,10101.5,True,test
7,2026-05-15,2026-05-21,1828,2026-03-27,9244.7,11068.9,9876.9,9961.2,10106.4,8535.1,9540.2,10824.9,9676.7,9815.0,10038.2,True,test
7,2026-05-22,2026-05-28,1828,2026-03-27,9289.8,11068.9,9462.6,9565.2,10053.0,8174.2,9160.9,10743.0,9707.1,9244.7,9730.1,True,test
7,2026-05-29,2026-06-04,1828,2026-03-27,10063.8,11068.9,9696.0,9711.1,10007.7,8387.9,9300.7,10708.2,9867.5,9289.8,9585.1,True,test
7,2026-06-05,2026-06-11,1828,2026-03-27,9273.9,11068.9,9816.1,10295.4,10437.2,8429.3,9860.3,11179.9,9857.8,10063.8,9603.3,True,test
7,2026-06-12,2026-06-18,1828,2026-03-27,6498.5,11068.9,9396.4,9466.0,9778.2,8121.3,9066.0,10461.0,6379.5,9273.9,9468.0,True,test
7,2026-06-19,2026-06-25,1828,2026-03-27,8324.2,11068.9,6315.1,6393.2,6885.8,5454.0,6123.0,7346.9,8425.6,6498.5,8781.5,True,test
7,2026-06-26,2026-07-02,1828,2026-03-27,8112.6,10745.7,7999.0,8339.9,8876.1,6875.6,7987.4,9477.7,8121.7,8324.2,8540.1,True,test
8,2026-07-03,2026-07-09,1919,2026-06-26,6759.3,9962.0,7861.2,8209.1,8554.9,6755.5,7862.2,9147.0,6987.1,8112.6,8052.3,True,test
8,2026-07-10,2026-07-16,1919,2026-06-26,7502.3,9962.0,6541.1,6998.0,7234.5,5598.4,6702.3,7739.3,7850.6,6759.3,7423.6,True,test
8,2026-07-17,2026-07-23,1919,2026-06-26,4816.9,9962.0,7795.7,8170.1,8218.8,6695.2,7824.8,8808.1,5889.5,7502.3,7674.6,True,test
8,2026-07-24,2026-07-30,1919,2026-06-26,6892.3,9962.0,5705.3,5970.1,6058.9,4901.1,5717.8,6489.6,7237.1,4816.9,6797.8,True,test
8,2026-07-31,2026-08-06,1919,2026-06-26,8999.2,9962.0,6897.6,7156.8,7320.1,5933.6,6854.4,7836.3,9293.9,6892.3,6492.7,True,test
8,2026-08-07,2026-08-13,1919,2026-06-26,8680.3,9962.0,8860.8,9284.2,9590.1,7610.2,8891.8,10259.8,8412.4,8999.2,7052.7,True,test
