date,shift,mine_id,equipment_id,equipment_type,event_type,hours_in_shift,provenance
2021-01-05,B,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,4.409,SYNTHETIC
2021-01-05,A,SYN_MINE_01,SYN_EXC_001,excavator,PREVENTIVE_MAINTENANCE,6.351,SYNTHETIC
2021-01-05,B,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,1.955,SYNTHETIC
2021-01-05,C,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,1.487,SYNTHETIC
2021-01-05,C,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,1.194,SYNTHETIC
2021-01-05,A,SYN_MINE_01,SYN_TRUCK_012,dumper,PREVENTIVE_MAINTENANCE,5.752,SYNTHETIC
2021-01-05,A,SYN_MINE_01,SYN_TRUCK_017,dumper,PREVENTIVE_MAINTENANCE,5.917,SYNTHETIC
2021-01-06,A,SYN_MINE_01,SYN_TRUCK_005,dumper,PREVENTIVE_MAINTENANCE,5.834,SYNTHETIC
2021-01-06,B,SYN_MINE_01,SYN_TRUCK_007,dumper,BREAKDOWN,4.071,SYNTHETIC
2021-01-06,C,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,1.037,SYNTHETIC
2021-01-07,A,SYN_MINE_01,SYN_TRUCK_002,dumper,PREVENTIVE_MAINTENANCE,4.043,SYNTHETIC
2021-01-07,C,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,0.435,SYNTHETIC
2021-01-07,A,SYN_MINE_01,SYN_TRUCK_006,dumper,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-01-07,C,SYN_MINE_01,SYN_TRUCK_008,dumper,BREAKDOWN,3.196,SYNTHETIC
2021-01-07,B,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,4.434,SYNTHETIC
2021-01-08,B,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,3.398,SYNTHETIC
2021-01-08,A,SYN_MINE_01,SYN_TRUCK_003,dumper,BREAKDOWN,1.559,SYNTHETIC
2021-01-08,B,SYN_MINE_01,SYN_TRUCK_003,dumper,BREAKDOWN,5.238,SYNTHETIC
2021-01-08,C,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,3.28,SYNTHETIC
2021-01-08,A,SYN_MINE_01,SYN_TRUCK_015,dumper,BREAKDOWN,4.391,SYNTHETIC
2021-01-08,A,SYN_MINE_01,SYN_TRUCK_018,dumper,PREVENTIVE_MAINTENANCE,6.853,SYNTHETIC
2021-01-09,A,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,0.282,SYNTHETIC
2021-01-09,C,SYN_MINE_01,SYN_EXC_002,excavator,BREAKDOWN,3.235,SYNTHETIC
2021-01-09,B,SYN_MINE_01,SYN_TRUCK_003,dumper,BREAKDOWN,5.765,SYNTHETIC
2021-01-09,C,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,4.87,SYNTHETIC
2021-01-09,B,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,2.907,SYNTHETIC
2021-01-09,A,SYN_MINE_01,SYN_TRUCK_011,dumper,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-01-09,B,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,2.562,SYNTHETIC
2021-01-09,C,SYN_MINE_01,SYN_TRUCK_012,dumper,BREAKDOWN,0.88,SYNTHETIC
2021-01-10,A,SYN_MINE_01,SYN_DRILL_002,drill,PREVENTIVE_MAINTENANCE,5.795,SYNTHETIC
2021-01-10,B,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,1.428,SYNTHETIC
2021-01-10,A,SYN_MINE_01,SYN_TRUCK_003,dumper,BREAKDOWN,4.575,SYNTHETIC
2021-01-10,B,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,2.83,SYNTHETIC
2021-01-10,A,SYN_MINE_01,SYN_TRUCK_015,dumper,PREVENTIVE_MAINTENANCE,4.692,SYNTHETIC
2021-01-10,A,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,6.884,SYNTHETIC
2021-01-11,A,SYN_MINE_01,SYN_EXC_002,excavator,PREVENTIVE_MAINTENANCE,6.093,SYNTHETIC
2021-01-11,B,SYN_MINE_01,SYN_TRUCK_004,dumper,BREAKDOWN,3.63,SYNTHETIC
2021-01-11,A,SYN_MINE_01,SYN_TRUCK_008,dumper,PREVENTIVE_MAINTENANCE,5.637,SYNTHETIC
2021-01-11,A,SYN_MINE_01,SYN_TRUCK_013,dumper,PREVENTIVE_MAINTENANCE,5.576,SYNTHETIC
2021-01-12,B,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,3.792,SYNTHETIC
2021-01-12,A,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,5.798,SYNTHETIC
2021-01-12,B,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,4.276,SYNTHETIC
2021-01-12,B,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,0.046,SYNTHETIC
2021-01-13,B,SYN_MINE_01,SYN_TRUCK_008,dumper,BREAKDOWN,4.2,SYNTHETIC
2021-01-13,A,SYN_MINE_01,SYN_TRUCK_009,dumper,PREVENTIVE_MAINTENANCE,4.079,SYNTHETIC
2021-01-13,C,SYN_MINE_01,SYN_TRUCK_014,dumper,BREAKDOWN,3.983,SYNTHETIC
2021-01-14,B,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,3.55,SYNTHETIC
2021-01-14,B,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,2.434,SYNTHETIC
2021-01-15,B,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,4.498,SYNTHETIC
2021-01-15,B,SYN_MINE_01,SYN_EXC_002,excavator,BREAKDOWN,5.514,SYNTHETIC
2021-01-15,B,SYN_MINE_01,SYN_TRUCK_007,dumper,BREAKDOWN,5.494,SYNTHETIC
2021-01-15,A,SYN_MINE_01,SYN_TRUCK_009,dumper,BREAKDOWN,2.684,SYNTHETIC
2021-01-16,A,SYN_MINE_01,SYN_DRILL_001,drill,PREVENTIVE_MAINTENANCE,4.189,SYNTHETIC
2021-01-16,B,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,0.381,SYNTHETIC
2021-01-16,B,SYN_MINE_01,SYN_TRUCK_009,dumper,BREAKDOWN,6.73,SYNTHETIC
2021-01-16,B,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,1.313,SYNTHETIC
2021-01-16,A,SYN_MINE_01,SYN_TRUCK_014,dumper,PREVENTIVE_MAINTENANCE,5.847,SYNTHETIC
2021-01-16,B,SYN_MINE_01,SYN_TRUCK_014,dumper,BREAKDOWN,1.493,SYNTHETIC
2021-01-17,A,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,2.059,SYNTHETIC
2021-01-17,A,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,3.768,SYNTHETIC
2021-01-17,B,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,0.219,SYNTHETIC
2021-01-17,C,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,1.619,SYNTHETIC
2021-01-17,A,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,2.913,SYNTHETIC
2021-01-18,B,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,1.245,SYNTHETIC
2021-01-18,B,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,0.13,SYNTHETIC
2021-01-19,A,SYN_MINE_01,SYN_TRUCK_003,dumper,PREVENTIVE_MAINTENANCE,5.914,SYNTHETIC
2021-01-19,A,SYN_MINE_01,SYN_TRUCK_007,dumper,PREVENTIVE_MAINTENANCE,6.201,SYNTHETIC
2021-01-19,C,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,0.304,SYNTHETIC
2021-01-19,B,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,3.66,SYNTHETIC
2021-01-20,C,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,5.028,SYNTHETIC
2021-01-20,A,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,1.274,SYNTHETIC
2021-01-20,A,SYN_MINE_01,SYN_TRUCK_012,dumper,BREAKDOWN,5.391,SYNTHETIC
2021-01-21,C,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,3.144,SYNTHETIC
2021-01-21,A,SYN_MINE_01,SYN_EXC_001,excavator,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-01-21,A,SYN_MINE_01,SYN_TRUCK_004,dumper,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-01-21,B,SYN_MINE_01,SYN_TRUCK_008,dumper,BREAKDOWN,2.927,SYNTHETIC
2021-01-21,B,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,4.116,SYNTHETIC
2021-01-21,B,SYN_MINE_01,SYN_TRUCK_012,dumper,BREAKDOWN,4.225,SYNTHETIC
2021-01-21,B,SYN_MINE_01,SYN_TRUCK_013,dumper,BREAKDOWN,1.752,SYNTHETIC
2021-01-21,A,SYN_MINE_01,SYN_TRUCK_016,dumper,PREVENTIVE_MAINTENANCE,6.553,SYNTHETIC
2021-01-22,A,SYN_MINE_01,SYN_DRILL_002,drill,PREVENTIVE_MAINTENANCE,5.378,SYNTHETIC
2021-01-22,C,SYN_MINE_01,SYN_TRUCK_014,dumper,BREAKDOWN,3.408,SYNTHETIC
2021-01-22,C,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,2.58,SYNTHETIC
2021-01-23,A,SYN_MINE_01,SYN_TRUCK_001,dumper,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-01-23,C,SYN_MINE_01,SYN_TRUCK_001,dumper,BREAKDOWN,4.928,SYNTHETIC
2021-01-23,A,SYN_MINE_01,SYN_TRUCK_010,dumper,PREVENTIVE_MAINTENANCE,6.556,SYNTHETIC
2021-01-23,B,SYN_MINE_01,SYN_TRUCK_014,dumper,BREAKDOWN,3.829,SYNTHETIC
2021-01-23,B,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,3.697,SYNTHETIC
2021-01-23,C,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,3.365,SYNTHETIC
2021-01-23,B,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,1.058,SYNTHETIC
2021-01-24,A,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,1.303,SYNTHETIC
2021-01-24,A,SYN_MINE_01,SYN_EXC_001,excavator,BREAKDOWN,2.602,SYNTHETIC
2021-01-24,A,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,0.525,SYNTHETIC
2021-01-24,A,SYN_MINE_01,SYN_TRUCK_007,dumper,BREAKDOWN,1.659,SYNTHETIC
2021-01-25,ALL,SYN_MINE_01,SITE,site,POWER_OUTAGE,2.99,SYNTHETIC
2021-01-25,A,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,3.832,SYNTHETIC
2021-01-25,B,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,0.382,SYNTHETIC
2021-01-25,A,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,3.394,SYNTHETIC
2021-01-25,A,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,2.79,SYNTHETIC
2021-01-25,C,SYN_MINE_01,SYN_TRUCK_015,dumper,BREAKDOWN,3.032,SYNTHETIC
2021-01-25,A,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,3.885,SYNTHETIC
2021-01-26,A,SYN_MINE_01,SYN_TRUCK_003,dumper,BREAKDOWN,0.506,SYNTHETIC
2021-01-26,A,SYN_MINE_01,SYN_TRUCK_004,dumper,BREAKDOWN,1.503,SYNTHETIC
2021-01-26,A,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,2.439,SYNTHETIC
2021-01-26,B,SYN_MINE_01,SYN_TRUCK_009,dumper,BREAKDOWN,1.609,SYNTHETIC
2021-01-26,A,SYN_MINE_01,SYN_TRUCK_012,dumper,PREVENTIVE_MAINTENANCE,4.101,SYNTHETIC
2021-01-26,A,SYN_MINE_01,SYN_TRUCK_017,dumper,PREVENTIVE_MAINTENANCE,6.017,SYNTHETIC
2021-01-27,A,SYN_MINE_01,SYN_DRILL_001,drill,PREVENTIVE_MAINTENANCE,4.629,SYNTHETIC
2021-01-27,A,SYN_MINE_01,SYN_EXC_002,excavator,PREVENTIVE_MAINTENANCE,6.27,SYNTHETIC
2021-01-27,A,SYN_MINE_01,SYN_TRUCK_002,dumper,PREVENTIVE_MAINTENANCE,6.652,SYNTHETIC
2021-01-27,B,SYN_MINE_01,SYN_TRUCK_003,dumper,BREAKDOWN,2.424,SYNTHETIC
2021-01-27,A,SYN_MINE_01,SYN_TRUCK_005,dumper,PREVENTIVE_MAINTENANCE,4.744,SYNTHETIC
2021-01-27,A,SYN_MINE_01,SYN_TRUCK_006,dumper,PREVENTIVE_MAINTENANCE,6.351,SYNTHETIC
2021-01-27,C,SYN_MINE_01,SYN_TRUCK_008,dumper,BREAKDOWN,3.425,SYNTHETIC
2021-01-28,B,SYN_MINE_01,SYN_TRUCK_015,dumper,BREAKDOWN,6.531,SYNTHETIC
2021-01-28,A,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,1.901,SYNTHETIC
2021-01-28,A,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,1.894,SYNTHETIC
2021-01-28,C,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,3.218,SYNTHETIC
2021-01-29,B,SYN_MINE_01,SYN_TRUCK_001,dumper,BREAKDOWN,1.764,SYNTHETIC
2021-01-29,B,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,2.834,SYNTHETIC
2021-01-29,A,SYN_MINE_01,SYN_TRUCK_011,dumper,PREVENTIVE_MAINTENANCE,5.222,SYNTHETIC
2021-01-30,C,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,1.902,SYNTHETIC
2021-01-30,B,SYN_MINE_01,SYN_TRUCK_007,dumper,BREAKDOWN,5.999,SYNTHETIC
2021-01-30,A,SYN_MINE_01,SYN_TRUCK_013,dumper,PREVENTIVE_MAINTENANCE,6.499,SYNTHETIC
2021-01-30,A,SYN_MINE_01,SYN_TRUCK_015,dumper,PREVENTIVE_MAINTENANCE,4.405,SYNTHETIC
2021-01-30,A,SYN_MINE_01,SYN_TRUCK_018,dumper,PREVENTIVE_MAINTENANCE,6.716,SYNTHETIC
2021-01-31,C,SYN_MINE_01,SYN_TRUCK_001,dumper,BREAKDOWN,3.328,SYNTHETIC
2021-01-31,B,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,5.163,SYNTHETIC
2021-01-31,B,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,3.526,SYNTHETIC
2021-01-31,A,SYN_MINE_01,SYN_TRUCK_008,dumper,PREVENTIVE_MAINTENANCE,6.481,SYNTHETIC
2021-01-31,A,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,0.293,SYNTHETIC
2021-01-31,B,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,6.3,SYNTHETIC
2021-01-31,A,SYN_MINE_01,SYN_TRUCK_013,dumper,BREAKDOWN,3.432,SYNTHETIC
2021-01-31,B,SYN_MINE_01,SYN_TRUCK_013,dumper,BREAKDOWN,4.789,SYNTHETIC
2021-02-01,A,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,3.524,SYNTHETIC
2021-02-02,C,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,0.331,SYNTHETIC
2021-02-02,B,SYN_MINE_01,SYN_TRUCK_003,dumper,BREAKDOWN,3.105,SYNTHETIC
2021-02-02,C,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,1.576,SYNTHETIC
2021-02-02,A,SYN_MINE_01,SYN_TRUCK_009,dumper,BREAKDOWN,4.247,SYNTHETIC
2021-02-02,B,SYN_MINE_01,SYN_TRUCK_013,dumper,BREAKDOWN,4.909,SYNTHETIC
2021-02-03,B,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,0.309,SYNTHETIC
2021-02-03,A,SYN_MINE_01,SYN_DRILL_002,drill,PREVENTIVE_MAINTENANCE,5.254,SYNTHETIC
2021-02-03,A,SYN_MINE_01,SYN_TRUCK_009,dumper,PREVENTIVE_MAINTENANCE,4.867,SYNTHETIC
2021-02-03,C,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,1.278,SYNTHETIC
2021-02-03,B,SYN_MINE_01,SYN_TRUCK_012,dumper,BREAKDOWN,1.932,SYNTHETIC
2021-02-04,B,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,0.54,SYNTHETIC
2021-02-04,C,SYN_MINE_01,SYN_TRUCK_004,dumper,BREAKDOWN,1.747,SYNTHETIC
2021-02-04,C,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,4.731,SYNTHETIC
2021-02-04,A,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,1.57,SYNTHETIC
2021-02-04,A,SYN_MINE_01,SYN_TRUCK_012,dumper,BREAKDOWN,4.027,SYNTHETIC
2021-02-04,A,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,2.156,SYNTHETIC
2021-02-05,A,SYN_MINE_01,SYN_TRUCK_012,dumper,BREAKDOWN,3.838,SYNTHETIC
2021-02-05,A,SYN_MINE_01,SYN_TRUCK_014,dumper,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-02-05,B,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,3.158,SYNTHETIC
2021-02-06,A,SYN_MINE_01,SYN_EXC_001,excavator,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-02-06,A,SYN_MINE_01,SYN_TRUCK_007,dumper,BREAKDOWN,1.958,SYNTHETIC
2021-02-06,A,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,5.71,SYNTHETIC
2021-02-06,C,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,5.325,SYNTHETIC
2021-02-06,B,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,0.252,SYNTHETIC
2021-02-07,A,SYN_MINE_01,SYN_DRILL_001,drill,PREVENTIVE_MAINTENANCE,5.083,SYNTHETIC
2021-02-07,B,SYN_MINE_01,SYN_TRUCK_001,dumper,BREAKDOWN,1.95,SYNTHETIC
2021-02-07,B,SYN_MINE_01,SYN_TRUCK_003,dumper,BREAKDOWN,1.562,SYNTHETIC
2021-02-07,B,SYN_MINE_01,SYN_TRUCK_007,dumper,BREAKDOWN,1.211,SYNTHETIC
2021-02-07,C,SYN_MINE_01,SYN_TRUCK_009,dumper,BREAKDOWN,0.798,SYNTHETIC
2021-02-07,C,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,2.957,SYNTHETIC
2021-02-07,B,SYN_MINE_01,SYN_TRUCK_012,dumper,BREAKDOWN,2.486,SYNTHETIC
2021-02-07,B,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,0.588,SYNTHETIC
2021-02-08,A,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,3.785,SYNTHETIC
2021-02-08,C,SYN_MINE_01,SYN_TRUCK_007,dumper,BREAKDOWN,1.176,SYNTHETIC
2021-02-08,C,SYN_MINE_01,SYN_TRUCK_010,dumper,BREAKDOWN,3.019,SYNTHETIC
2021-02-08,A,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,4.15,SYNTHETIC
2021-02-09,B,SYN_MINE_01,SYN_EXC_001,excavator,BREAKDOWN,2.803,SYNTHETIC
2021-02-09,A,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,5.071,SYNTHETIC
2021-02-09,A,SYN_MINE_01,SYN_TRUCK_003,dumper,PREVENTIVE_MAINTENANCE,4.763,SYNTHETIC
2021-02-09,B,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,3.962,SYNTHETIC
2021-02-09,C,SYN_MINE_01,SYN_TRUCK_015,dumper,BREAKDOWN,2.717,SYNTHETIC
2021-02-09,A,SYN_MINE_01,SYN_TRUCK_017,dumper,BREAKDOWN,0.402,SYNTHETIC
2021-02-10,C,SYN_MINE_01,SYN_DRILL_002,drill,BREAKDOWN,3.814,SYNTHETIC
2021-02-10,B,SYN_MINE_01,SYN_EXC_001,excavator,BREAKDOWN,1.817,SYNTHETIC
2021-02-10,A,SYN_MINE_01,SYN_TRUCK_004,dumper,PREVENTIVE_MAINTENANCE,5.764,SYNTHETIC
2021-02-10,A,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,1.014,SYNTHETIC
2021-02-10,A,SYN_MINE_01,SYN_TRUCK_007,dumper,PREVENTIVE_MAINTENANCE,5.697,SYNTHETIC
2021-02-10,A,SYN_MINE_01,SYN_TRUCK_016,dumper,PREVENTIVE_MAINTENANCE,6.741,SYNTHETIC
2021-02-10,B,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,2.819,SYNTHETIC
2021-02-10,C,SYN_MINE_01,SYN_TRUCK_018,dumper,BREAKDOWN,2.423,SYNTHETIC
2021-02-11,A,SYN_MINE_01,SYN_TRUCK_001,dumper,BREAKDOWN,6.754,SYNTHETIC
2021-02-11,A,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,1.457,SYNTHETIC
2021-02-11,A,SYN_MINE_01,SYN_TRUCK_007,dumper,BREAKDOWN,4.983,SYNTHETIC
2021-02-11,B,SYN_MINE_01,SYN_TRUCK_012,dumper,BREAKDOWN,1.008,SYNTHETIC
2021-02-12,A,SYN_MINE_01,SYN_EXC_001,excavator,BREAKDOWN,3.686,SYNTHETIC
2021-02-12,A,SYN_MINE_01,SYN_EXC_002,excavator,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-02-12,C,SYN_MINE_01,SYN_TRUCK_014,dumper,BREAKDOWN,0.014,SYNTHETIC
2021-02-13,B,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,5.511,SYNTHETIC
2021-02-13,A,SYN_MINE_01,SYN_TRUCK_001,dumper,PREVENTIVE_MAINTENANCE,7.0,SYNTHETIC
2021-02-13,B,SYN_MINE_01,SYN_TRUCK_005,dumper,BREAKDOWN,1.289,SYNTHETIC
2021-02-13,B,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,1.709,SYNTHETIC
2021-02-13,A,SYN_MINE_01,SYN_TRUCK_010,dumper,PREVENTIVE_MAINTENANCE,5.804,SYNTHETIC
2021-02-13,C,SYN_MINE_01,SYN_TRUCK_013,dumper,BREAKDOWN,1.573,SYNTHETIC
2021-02-14,B,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,1.981,SYNTHETIC
2021-02-14,A,SYN_MINE_01,SYN_DRILL_002,drill,PREVENTIVE_MAINTENANCE,5.277,SYNTHETIC
2021-02-14,A,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,3.99,SYNTHETIC
2021-02-14,A,SYN_MINE_01,SYN_TRUCK_006,dumper,BREAKDOWN,4.982,SYNTHETIC
2021-02-15,C,SYN_MINE_01,SYN_TRUCK_002,dumper,BREAKDOWN,1.23,SYNTHETIC
2021-02-15,A,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,5.925,SYNTHETIC
2021-02-15,A,SYN_MINE_01,SYN_TRUCK_012,dumper,PREVENTIVE_MAINTENANCE,6.612,SYNTHETIC
2021-02-15,B,SYN_MINE_01,SYN_TRUCK_013,dumper,BREAKDOWN,1.939,SYNTHETIC
2021-02-15,A,SYN_MINE_01,SYN_TRUCK_016,dumper,BREAKDOWN,3.285,SYNTHETIC
2021-02-15,A,SYN_MINE_01,SYN_TRUCK_017,dumper,PREVENTIVE_MAINTENANCE,4.713,SYNTHETIC
2021-02-16,A,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,0.092,SYNTHETIC
2021-02-16,C,SYN_MINE_01,SYN_DRILL_001,drill,BREAKDOWN,3.017,SYNTHETIC
2021-02-16,A,SYN_MINE_01,SYN_TRUCK_006,dumper,PREVENTIVE_MAINTENANCE,5.483,SYNTHETIC
2021-02-16,A,SYN_MINE_01,SYN_TRUCK_011,dumper,BREAKDOWN,0.329,SYNTHETIC
2021-02-17,C,SYN_MINE_01,SYN_TRUCK_001,dumper,BREAKDOWN,5.429,SYNTHETIC
2021-02-17,A,SYN_MINE_01,SYN_TRUCK_002,dumper,PREVENTIVE_MAINTENANCE,4.839,SYNTHETIC
2021-02-17,A,SYN_MINE_01,SYN_TRUCK_005,dumper,PREVENTIVE_MAINTENANCE,5.702,SYNTHETIC
2021-02-17,A,SYN_MINE_01,SYN_TRUCK_008,dumper,BREAKDOWN,2.793,SYNTHETIC
2021-02-18,C,SYN_MINE_01,SYN_TRUCK_008,dumper,BREAKDOWN,3.56,SYNTHETIC
