scenario_id,mine_id,start_date,duration_days,disruption_type,severity_production_loss_pct,affected_equipment,availability_change,haulage_delay_change_h,blast_delay_change_h,drill_delay_change_h,truck_change,rainfall_7d_mm,weather_state,production_impact_t,provenance
SIM_2021-04-30_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-04-30,7,EQUIPMENT_DEGRADATION,4.85,"excavators, dumpers",-0.0553,-0.054,-0.072,-0.643,-0.88,2.7,OBSERVED WEEK (IMD/ERA5),-457.9,SIMULATED
SIM_2021-04-30_BLAST_DELAY,SYN_MINE_01,2021-04-30,7,BLAST_DELAY,6.13,blasting / excavators,0.0,0.0,0.812,0.0,0.0,2.7,OBSERVED WEEK (IMD/ERA5),-578.1,SIMULATED
SIM_2021-04-30_DRILL_DELAY,SYN_MINE_01,2021-04-30,7,DRILL_DELAY,-1.52,drills,0.0479,0.365,0.176,1.174,0.01,2.7,OBSERVED WEEK (IMD/ERA5),143.4,SIMULATED
SIM_2021-04-30_HAULAGE_DISRUPTION,SYN_MINE_01,2021-04-30,7,HAULAGE_DISRUPTION,26.61,dumpers / haul road,0.0852,5.075,-0.031,-0.099,-3.42,2.7,OBSERVED WEEK (IMD/ERA5),-2511.4,SIMULATED
SIM_2021-04-30_COMBINED_DISRUPTION,SYN_MINE_01,2021-04-30,7,COMBINED_DISRUPTION,30.66,site-wide,-0.0412,2.735,0.697,1.221,-2.45,148.0,HEAVY_RAIN (IMD p95 7-day),-2893.3,SIMULATED
SIM_2021-05-14_NORMAL,SYN_MINE_01,2021-05-14,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,5.0,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-05-14_HEAVY_RAIN,SYN_MINE_01,2021-05-14,7,HEAVY_RAIN,18.38,site / dumpers,-0.0612,1.622,-0.014,1.871,-0.47,148.0,HEAVY_RAIN (IMD p95 7-day),-1967.3,SIMULATED
SIM_2021-05-14_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-05-14,7,EQUIPMENT_DEGRADATION,16.84,"excavators, dumpers",-0.1171,0.542,-0.012,0.51,-1.5,5.0,OBSERVED WEEK (IMD/ERA5),-1802.1,SIMULATED
SIM_2021-05-14_BLAST_DELAY,SYN_MINE_01,2021-05-14,7,BLAST_DELAY,55.16,blasting / excavators,0.0,0.0,8.393,0.0,0.0,5.0,OBSERVED WEEK (IMD/ERA5),-5904.0,SIMULATED
SIM_2021-05-14_DRILL_DELAY,SYN_MINE_01,2021-05-14,7,DRILL_DELAY,16.1,drills,-0.156,-0.161,0.122,1.07,-0.11,5.0,OBSERVED WEEK (IMD/ERA5),-1723.8,SIMULATED
SIM_2021-05-14_HAULAGE_DISRUPTION,SYN_MINE_01,2021-05-14,7,HAULAGE_DISRUPTION,39.84,dumpers / haul road,-0.0789,4.693,0.054,0.055,-3.65,5.0,OBSERVED WEEK (IMD/ERA5),-4264.0,SIMULATED
SIM_2021-05-14_COMBINED_DISRUPTION,SYN_MINE_01,2021-05-14,7,COMBINED_DISRUPTION,35.58,site-wide,-0.2287,1.103,-0.065,2.365,-2.43,148.0,HEAVY_RAIN (IMD p95 7-day),-3808.0,SIMULATED
SIM_2021-05-28_NORMAL,SYN_MINE_01,2021-05-28,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,0.4,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-05-28_HEAVY_RAIN,SYN_MINE_01,2021-05-28,7,HEAVY_RAIN,25.1,site / dumpers,-0.105,1.078,0.0,1.48,-0.34,148.0,HEAVY_RAIN (IMD p95 7-day),-2549.0,SIMULATED
SIM_2021-05-28_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-05-28,7,EQUIPMENT_DEGRADATION,5.37,"excavators, dumpers",-0.0214,0.225,0.033,-0.106,-1.51,0.4,OBSERVED WEEK (IMD/ERA5),-545.1,SIMULATED
SIM_2021-05-28_BLAST_DELAY,SYN_MINE_01,2021-05-28,7,BLAST_DELAY,12.1,blasting / excavators,0.0,0.0,1.693,0.0,0.0,0.4,OBSERVED WEEK (IMD/ERA5),-1228.6,SIMULATED
SIM_2021-05-28_DRILL_DELAY,SYN_MINE_01,2021-05-28,7,DRILL_DELAY,5.48,drills,-0.0316,-0.031,0.007,1.056,-0.05,0.4,OBSERVED WEEK (IMD/ERA5),-556.2,SIMULATED
SIM_2021-05-28_HAULAGE_DISRUPTION,SYN_MINE_01,2021-05-28,7,HAULAGE_DISRUPTION,37.7,dumpers / haul road,0.0611,6.164,0.011,-0.218,-4.18,0.4,OBSERVED WEEK (IMD/ERA5),-3828.8,SIMULATED
SIM_2021-05-28_COMBINED_DISRUPTION,SYN_MINE_01,2021-05-28,7,COMBINED_DISRUPTION,52.73,site-wide,-0.0819,2.001,3.825,1.756,-2.18,148.0,HEAVY_RAIN (IMD p95 7-day),-5355.0,SIMULATED
SIM_2021-06-11_NORMAL,SYN_MINE_01,2021-06-11,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,58.4,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-06-11_HEAVY_RAIN,SYN_MINE_01,2021-06-11,7,HEAVY_RAIN,3.26,site / dumpers,0.0,0.38,-0.004,1.281,0.0,152.6,HEAVY_RAIN (IMD p95 7-day),-266.0,SIMULATED
SIM_2021-06-11_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-06-11,7,EQUIPMENT_DEGRADATION,33.98,"excavators, dumpers",-0.3429,-2.005,-0.04,-0.2,-1.79,58.4,OBSERVED WEEK (IMD/ERA5),-2775.2,SIMULATED
SIM_2021-06-11_BLAST_DELAY,SYN_MINE_01,2021-06-11,7,BLAST_DELAY,0.0,blasting / excavators,0.0,0.0,0.0,0.0,0.0,58.4,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-06-11_DRILL_DELAY,SYN_MINE_01,2021-06-11,7,DRILL_DELAY,0.98,drills,0.0094,0.049,0.13,0.446,-0.07,58.4,OBSERVED WEEK (IMD/ERA5),-80.0,SIMULATED
SIM_2021-06-11_HAULAGE_DISRUPTION,SYN_MINE_01,2021-06-11,7,HAULAGE_DISRUPTION,50.85,dumpers / haul road,0.0487,6.75,-0.085,0.561,-3.82,58.4,OBSERVED WEEK (IMD/ERA5),-4152.7,SIMULATED
SIM_2021-06-11_COMBINED_DISRUPTION,SYN_MINE_01,2021-06-11,7,COMBINED_DISRUPTION,35.03,site-wide,-0.3429,-1.884,-0.042,1.139,-1.79,152.6,HEAVY_RAIN (IMD p95 7-day),-2860.2,SIMULATED
SIM_2021-06-25_NORMAL,SYN_MINE_01,2021-06-25,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,41.3,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-06-25_HEAVY_RAIN,SYN_MINE_01,2021-06-25,7,HEAVY_RAIN,8.79,site / dumpers,0.0,0.804,-0.009,1.516,0.02,149.9,HEAVY_RAIN (IMD p95 7-day),-674.2,SIMULATED
SIM_2021-06-25_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-06-25,7,EQUIPMENT_DEGRADATION,13.86,"excavators, dumpers",-0.0308,0.945,-0.054,1.272,-1.51,41.3,OBSERVED WEEK (IMD/ERA5),-1063.0,SIMULATED
SIM_2021-06-25_BLAST_DELAY,SYN_MINE_01,2021-06-25,7,BLAST_DELAY,37.41,blasting / excavators,0.0,0.0,4.022,0.0,0.0,41.3,OBSERVED WEEK (IMD/ERA5),-2869.1,SIMULATED
SIM_2021-06-25_DRILL_DELAY,SYN_MINE_01,2021-06-25,7,DRILL_DELAY,-4.39,drills,0.0505,0.304,-0.038,2.502,0.35,41.3,OBSERVED WEEK (IMD/ERA5),336.8,SIMULATED
SIM_2021-06-25_HAULAGE_DISRUPTION,SYN_MINE_01,2021-06-25,7,HAULAGE_DISRUPTION,43.07,dumpers / haul road,0.0868,6.306,-0.09,0.128,-3.13,41.3,OBSERVED WEEK (IMD/ERA5),-3302.9,SIMULATED
SIM_2021-06-25_COMBINED_DISRUPTION,SYN_MINE_01,2021-06-25,7,COMBINED_DISRUPTION,37.41,site-wide,-0.0308,1.278,2.204,2.239,-1.51,149.9,HEAVY_RAIN (IMD p95 7-day),-2869.1,SIMULATED
SIM_2021-07-09_NORMAL,SYN_MINE_01,2021-07-09,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,60.5,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-07-09_HEAVY_RAIN,SYN_MINE_01,2021-07-09,7,HEAVY_RAIN,3.04,site / dumpers,0.0,0.327,-0.003,1.256,0.0,156.9,HEAVY_RAIN (IMD p95 7-day),-230.0,SIMULATED
SIM_2021-07-09_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-07-09,7,EQUIPMENT_DEGRADATION,10.1,"excavators, dumpers",0.0566,1.879,0.06,0.667,-0.97,60.5,OBSERVED WEEK (IMD/ERA5),-764.7,SIMULATED
SIM_2021-07-09_BLAST_DELAY,SYN_MINE_01,2021-07-09,7,BLAST_DELAY,0.0,blasting / excavators,0.0,0.0,0.0,0.0,0.0,60.5,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-07-09_DRILL_DELAY,SYN_MINE_01,2021-07-09,7,DRILL_DELAY,-4.12,drills,0.1479,1.163,0.148,1.968,0.17,60.5,OBSERVED WEEK (IMD/ERA5),311.8,SIMULATED
SIM_2021-07-09_HAULAGE_DISRUPTION,SYN_MINE_01,2021-07-09,7,HAULAGE_DISRUPTION,42.52,dumpers / haul road,0.1183,6.521,-0.063,0.497,-3.16,60.5,OBSERVED WEEK (IMD/ERA5),-3219.8,SIMULATED
SIM_2021-07-09_COMBINED_DISRUPTION,SYN_MINE_01,2021-07-09,7,COMBINED_DISRUPTION,36.61,site-wide,0.0566,2.302,2.485,1.78,-0.97,156.9,HEAVY_RAIN (IMD p95 7-day),-2772.6,SIMULATED
SIM_2021-07-23_NORMAL,SYN_MINE_01,2021-07-23,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,153.3,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-07-23_HEAVY_RAIN,SYN_MINE_01,2021-07-23,7,HEAVY_RAIN,2.15,site / dumpers,0.0,0.23,-0.003,0.654,0.0,202.8,HEAVY_RAIN (IMD p95 7-day),-161.8,SIMULATED
SIM_2021-07-23_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-07-23,7,EQUIPMENT_DEGRADATION,30.49,"excavators, dumpers",-0.0724,0.904,-0.098,0.936,-1.64,153.3,OBSERVED WEEK (IMD/ERA5),-2299.5,SIMULATED
SIM_2021-07-23_BLAST_DELAY,SYN_MINE_01,2021-07-23,7,BLAST_DELAY,0.0,blasting / excavators,0.0,0.0,0.0,0.0,0.0,153.3,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-07-23_DRILL_DELAY,SYN_MINE_01,2021-07-23,7,DRILL_DELAY,-5.28,drills,-0.0005,-0.22,-0.041,0.809,0.21,153.3,OBSERVED WEEK (IMD/ERA5),398.3,SIMULATED
SIM_2021-07-23_HAULAGE_DISRUPTION,SYN_MINE_01,2021-07-23,7,HAULAGE_DISRUPTION,48.58,dumpers / haul road,-0.0196,4.93,-0.052,0.592,-3.22,153.3,OBSERVED WEEK (IMD/ERA5),-3663.9,SIMULATED
SIM_2021-07-23_COMBINED_DISRUPTION,SYN_MINE_01,2021-07-23,7,COMBINED_DISRUPTION,36.35,site-wide,-0.0724,1.069,0.37,1.457,-1.64,202.8,HEAVY_RAIN (IMD p95 7-day),-2741.4,SIMULATED
SIM_2021-08-06_NORMAL,SYN_MINE_01,2021-08-06,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,34.9,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-08-06_HEAVY_RAIN,SYN_MINE_01,2021-08-06,7,HEAVY_RAIN,11.67,site / dumpers,-0.0256,0.311,0.019,1.263,-0.14,154.4,HEAVY_RAIN (IMD p95 7-day),-929.1,SIMULATED
SIM_2021-08-06_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-08-06,7,EQUIPMENT_DEGRADATION,7.59,"excavators, dumpers",-0.0561,-0.013,-0.021,0.514,-1.44,34.9,OBSERVED WEEK (IMD/ERA5),-604.4,SIMULATED
SIM_2021-08-06_BLAST_DELAY,SYN_MINE_01,2021-08-06,7,BLAST_DELAY,0.0,blasting / excavators,0.0,0.0,0.0,0.0,0.0,34.9,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-08-06_DRILL_DELAY,SYN_MINE_01,2021-08-06,7,DRILL_DELAY,7.7,drills,-0.1805,-2.234,-0.005,1.251,0.04,34.9,OBSERVED WEEK (IMD/ERA5),-613.0,SIMULATED
SIM_2021-08-06_HAULAGE_DISRUPTION,SYN_MINE_01,2021-08-06,7,HAULAGE_DISRUPTION,48.09,dumpers / haul road,-0.0544,4.441,-0.079,-0.081,-4.14,34.9,OBSERVED WEEK (IMD/ERA5),-3830.0,SIMULATED
SIM_2021-08-06_COMBINED_DISRUPTION,SYN_MINE_01,2021-08-06,7,COMBINED_DISRUPTION,15.1,site-wide,-0.0507,0.884,-0.053,1.567,-1.75,154.4,HEAVY_RAIN (IMD p95 7-day),-1202.6,SIMULATED
SIM_2021-08-20_NORMAL,SYN_MINE_01,2021-08-20,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,21.1,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-08-20_HEAVY_RAIN,SYN_MINE_01,2021-08-20,7,HEAVY_RAIN,5.65,site / dumpers,0.0,0.72,-0.012,1.507,0.0,148.0,HEAVY_RAIN (IMD p95 7-day),-501.9,SIMULATED
SIM_2021-08-20_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-08-20,7,EQUIPMENT_DEGRADATION,22.75,"excavators, dumpers",-0.0728,1.342,-0.074,1.095,-2.0,21.1,OBSERVED WEEK (IMD/ERA5),-2022.0,SIMULATED
SIM_2021-08-20_BLAST_DELAY,SYN_MINE_01,2021-08-20,7,BLAST_DELAY,0.59,blasting / excavators,0.0,0.0,0.047,0.0,0.0,21.1,OBSERVED WEEK (IMD/ERA5),-52.6,SIMULATED
SIM_2021-08-20_DRILL_DELAY,SYN_MINE_01,2021-08-20,7,DRILL_DELAY,3.01,drills,-0.032,-0.63,-0.021,2.62,0.2,21.1,OBSERVED WEEK (IMD/ERA5),-267.5,SIMULATED
SIM_2021-08-20_HAULAGE_DISRUPTION,SYN_MINE_01,2021-08-20,7,HAULAGE_DISRUPTION,53.44,dumpers / haul road,-0.152,3.77,-0.174,0.839,-3.67,21.1,OBSERVED WEEK (IMD/ERA5),-4749.8,SIMULATED
SIM_2021-08-20_COMBINED_DISRUPTION,SYN_MINE_01,2021-08-20,7,COMBINED_DISRUPTION,33.16,site-wide,-0.0728,1.875,0.686,2.329,-2.0,148.0,HEAVY_RAIN (IMD p95 7-day),-2946.9,SIMULATED
SIM_2021-09-03_NORMAL,SYN_MINE_01,2021-09-03,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,54.2,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-09-03_HEAVY_RAIN,SYN_MINE_01,2021-09-03,7,HEAVY_RAIN,10.38,site / dumpers,-0.0481,0.39,-0.077,0.799,-0.07,150.5,HEAVY_RAIN (IMD p95 7-day),-858.6,SIMULATED
SIM_2021-09-03_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-09-03,7,EQUIPMENT_DEGRADATION,40.13,"excavators, dumpers",-0.3927,-2.008,0.002,-0.72,-2.42,54.2,OBSERVED WEEK (IMD/ERA5),-3320.8,SIMULATED
SIM_2021-09-03_BLAST_DELAY,SYN_MINE_01,2021-09-03,7,BLAST_DELAY,0.0,blasting / excavators,0.0,0.0,0.0,0.0,0.0,54.2,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-09-03_DRILL_DELAY,SYN_MINE_01,2021-09-03,7,DRILL_DELAY,15.71,drills,-0.085,-0.105,-0.021,1.764,-0.25,54.2,OBSERVED WEEK (IMD/ERA5),-1299.6,SIMULATED
SIM_2021-09-03_HAULAGE_DISRUPTION,SYN_MINE_01,2021-09-03,7,HAULAGE_DISRUPTION,52.31,dumpers / haul road,-0.1787,3.164,-0.051,-0.929,-3.9,54.2,OBSERVED WEEK (IMD/ERA5),-4328.6,SIMULATED
SIM_2021-09-03_COMBINED_DISRUPTION,SYN_MINE_01,2021-09-03,7,COMBINED_DISRUPTION,42.49,site-wide,-0.3927,-1.722,-0.006,0.473,-2.42,150.5,HEAVY_RAIN (IMD p95 7-day),-3515.7,SIMULATED
SIM_2021-09-17_NORMAL,SYN_MINE_01,2021-09-17,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,52.2,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-09-17_HEAVY_RAIN,SYN_MINE_01,2021-09-17,7,HEAVY_RAIN,3.75,site / dumpers,0.0,0.419,-0.007,1.153,0.0,152.5,HEAVY_RAIN (IMD p95 7-day),-290.1,SIMULATED
SIM_2021-09-17_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-09-17,7,EQUIPMENT_DEGRADATION,14.13,"excavators, dumpers",-0.0806,0.364,0.016,-0.476,-1.87,52.2,OBSERVED WEEK (IMD/ERA5),-1093.6,SIMULATED
SIM_2021-09-17_BLAST_DELAY,SYN_MINE_01,2021-09-17,7,BLAST_DELAY,23.73,blasting / excavators,0.0,0.0,2.623,0.0,0.0,52.2,OBSERVED WEEK (IMD/ERA5),-1836.5,SIMULATED
SIM_2021-09-17_DRILL_DELAY,SYN_MINE_01,2021-09-17,7,DRILL_DELAY,-5.26,drills,0.0051,-0.306,0.011,1.177,-0.01,52.2,OBSERVED WEEK (IMD/ERA5),406.8,SIMULATED
SIM_2021-09-17_HAULAGE_DISRUPTION,SYN_MINE_01,2021-09-17,7,HAULAGE_DISRUPTION,47.68,dumpers / haul road,-0.017,5.246,-0.088,-0.674,-3.62,52.2,OBSERVED WEEK (IMD/ERA5),-3689.8,SIMULATED
SIM_2021-09-17_COMBINED_DISRUPTION,SYN_MINE_01,2021-09-17,7,COMBINED_DISRUPTION,19.42,site-wide,-0.0377,1.504,-0.028,1.109,-1.84,152.5,HEAVY_RAIN (IMD p95 7-day),-1502.7,SIMULATED
SIM_2021-10-01_NORMAL,SYN_MINE_01,2021-10-01,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,12.8,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-10-01_HEAVY_RAIN,SYN_MINE_01,2021-10-01,7,HEAVY_RAIN,18.34,site / dumpers,-0.0254,1.667,-0.085,1.319,-0.01,148.0,HEAVY_RAIN (IMD p95 7-day),-1547.6,SIMULATED
SIM_2021-10-01_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-10-01,7,EQUIPMENT_DEGRADATION,35.8,"excavators, dumpers",-0.2698,0.044,-0.019,0.008,-1.33,12.8,OBSERVED WEEK (IMD/ERA5),-3020.6,SIMULATED
SIM_2021-10-01_BLAST_DELAY,SYN_MINE_01,2021-10-01,7,BLAST_DELAY,0.0,blasting / excavators,0.0,0.0,0.0,0.0,0.0,12.8,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-10-01_DRILL_DELAY,SYN_MINE_01,2021-10-01,7,DRILL_DELAY,19.95,drills,-0.2163,-1.061,-0.083,1.105,0.42,12.8,OBSERVED WEEK (IMD/ERA5),-1683.7,SIMULATED
SIM_2021-10-01_HAULAGE_DISRUPTION,SYN_MINE_01,2021-10-01,7,HAULAGE_DISRUPTION,49.29,dumpers / haul road,-0.0909,4.124,-0.026,0.596,-3.33,12.8,OBSERVED WEEK (IMD/ERA5),-4159.1,SIMULATED
SIM_2021-10-01_COMBINED_DISRUPTION,SYN_MINE_01,2021-10-01,7,COMBINED_DISRUPTION,40.09,site-wide,-0.1836,2.034,-0.078,1.793,-1.77,148.0,HEAVY_RAIN (IMD p95 7-day),-3382.9,SIMULATED
SIM_2021-10-15_NORMAL,SYN_MINE_01,2021-10-15,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,1.0,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-10-15_HEAVY_RAIN,SYN_MINE_01,2021-10-15,7,HEAVY_RAIN,19.3,site / dumpers,-0.0635,1.598,0.032,1.482,0.12,148.0,HEAVY_RAIN (IMD p95 7-day),-1887.1,SIMULATED
SIM_2021-10-15_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-10-15,7,EQUIPMENT_DEGRADATION,14.75,"excavators, dumpers",-0.0903,0.656,0.015,-0.158,-1.4,1.0,OBSERVED WEEK (IMD/ERA5),-1442.3,SIMULATED
SIM_2021-10-15_BLAST_DELAY,SYN_MINE_01,2021-10-15,7,BLAST_DELAY,26.93,blasting / excavators,0.0,0.0,3.76,0.0,0.0,1.0,OBSERVED WEEK (IMD/ERA5),-2632.9,SIMULATED
SIM_2021-10-15_DRILL_DELAY,SYN_MINE_01,2021-10-15,7,DRILL_DELAY,-4.52,drills,0.005,-0.348,0.019,1.749,0.26,1.0,OBSERVED WEEK (IMD/ERA5),442.2,SIMULATED
SIM_2021-10-15_HAULAGE_DISRUPTION,SYN_MINE_01,2021-10-15,7,HAULAGE_DISRUPTION,45.83,dumpers / haul road,-0.0294,6.203,-0.037,-0.199,-3.48,1.0,OBSERVED WEEK (IMD/ERA5),-4481.2,SIMULATED
SIM_2021-10-15_COMBINED_DISRUPTION,SYN_MINE_01,2021-10-15,7,COMBINED_DISRUPTION,41.46,site-wide,-0.2153,1.082,1.252,2.066,-1.66,148.0,HEAVY_RAIN (IMD p95 7-day),-4054.0,SIMULATED
SIM_2021-10-29_NORMAL,SYN_MINE_01,2021-10-29,7,NORMAL,0.0,none,0.0,0.0,0.0,0.0,0.0,0.0,OBSERVED WEEK (IMD/ERA5),0.0,SIMULATED
SIM_2021-10-29_HEAVY_RAIN,SYN_MINE_01,2021-10-29,7,HEAVY_RAIN,28.72,site / dumpers,-0.1172,2.725,-0.034,1.716,-0.32,148.0,HEAVY_RAIN (IMD p95 7-day),-3143.6,SIMULATED
SIM_2021-10-29_EQUIPMENT_DEGRADATION,SYN_MINE_01,2021-10-29,7,EQUIPMENT_DEGRADATION,19.42,"excavators, dumpers",-0.0152,1.963,0.116,-0.617,-1.72,0.0,OBSERVED WEEK (IMD/ERA5),-2126.0,SIMULATED
SIM_2021-10-29_BLAST_DELAY,SYN_MINE_01,2021-10-29,7,BLAST_DELAY,56.14,blasting / excavators,0.0,0.0,8.773,0.0,0.0,0.0,OBSERVED WEEK (IMD/ERA5),-6145.1,SIMULATED
SIM_2021-10-29_DRILL_DELAY,SYN_MINE_01,2021-10-29,7,DRILL_DELAY,11.75,drills,-0.1172,-0.044,-0.021,0.911,-0.01,0.0,OBSERVED WEEK (IMD/ERA5),-1286.4,SIMULATED
SIM_2021-10-29_HAULAGE_DISRUPTION,SYN_MINE_01,2021-10-29,7,HAULAGE_DISRUPTION,48.26,dumpers / haul road,-0.015,7.305,-0.068,-0.164,-3.66,0.0,OBSERVED WEEK (IMD/ERA5),-5282.6,SIMULATED
