target_id,scenario,lat,lon,prospectivity_rank,observed_evidence_level,geological_unit,nmet_block_id,n_boreholes,n_intervals,n_geochem,n_geophys,mn_bearing_intervals,max_mn_pct,provenance
T04,POSITIVE_GEOPHYSICAL_SUPPORT,21.3993,79.43,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T04,POSITIVE_GEOCHEMICAL_SUPPORT,21.3993,79.43,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T04,POSITIVE_DRILLING_INTERSECTION,21.3993,79.43,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,36.97,SIMULATED
T04,NEGATIVE_DRILLING_RESULT,21.3993,79.43,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T04,AMBIGUOUS_DRILLING_RESULT,21.3993,79.43,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,19.91,SIMULATED
T05,NO_SUBSURFACE_EVIDENCE,21.8218,80.225,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T05,POSITIVE_GEOPHYSICAL_SUPPORT,21.8218,80.225,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T05,POSITIVE_GEOCHEMICAL_SUPPORT,21.8218,80.225,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T05,POSITIVE_DRILLING_INTERSECTION,21.8218,80.225,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,3,16,16,1,5,42.4,SIMULATED
T05,NEGATIVE_DRILLING_RESULT,21.8218,80.225,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T05,AMBIGUOUS_DRILLING_RESULT,21.8218,80.225,98.5,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,19.07,SIMULATED
T06,NO_SUBSURFACE_EVIDENCE,21.8769,80.1688,98.4,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T06,POSITIVE_GEOPHYSICAL_SUPPORT,21.8769,80.1688,98.4,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T06,POSITIVE_GEOCHEMICAL_SUPPORT,21.8769,80.1688,98.4,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T06,POSITIVE_DRILLING_INTERSECTION,21.8769,80.1688,98.4,2,Mesoproterozoic sedimentary and volcanic rocks,,3,13,13,1,4,40.11,SIMULATED
T06,NEGATIVE_DRILLING_RESULT,21.8769,80.1688,98.4,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T06,AMBIGUOUS_DRILLING_RESULT,21.8769,80.1688,98.4,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,18.13,SIMULATED
T07,NO_SUBSURFACE_EVIDENCE,21.3614,79.3148,98.4,3,Mesoproterozoic sedimentary and volcanic rocks,NAGARDHAN,0,0,0,0,0,,SIMULATED
T07,POSITIVE_GEOPHYSICAL_SUPPORT,21.3614,79.3148,98.4,3,Mesoproterozoic sedimentary and volcanic rocks,NAGARDHAN,0,0,0,1,0,,SIMULATED
T07,POSITIVE_GEOCHEMICAL_SUPPORT,21.3614,79.3148,98.4,3,Mesoproterozoic sedimentary and volcanic rocks,NAGARDHAN,0,0,8,0,0,,SIMULATED
T07,POSITIVE_DRILLING_INTERSECTION,21.3614,79.3148,98.4,3,Mesoproterozoic sedimentary and volcanic rocks,NAGARDHAN,3,16,16,1,5,38.74,SIMULATED
T07,NEGATIVE_DRILLING_RESULT,21.3614,79.3148,98.4,3,Mesoproterozoic sedimentary and volcanic rocks,NAGARDHAN,3,6,6,1,0,,SIMULATED
T07,AMBIGUOUS_DRILLING_RESULT,21.3614,79.3148,98.4,3,Mesoproterozoic sedimentary and volcanic rocks,NAGARDHAN,3,12,12,1,2,19.65,SIMULATED
T08,NO_SUBSURFACE_EVIDENCE,21.7846,80.1022,98.3,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T08,POSITIVE_GEOPHYSICAL_SUPPORT,21.7846,80.1022,98.3,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T08,POSITIVE_GEOCHEMICAL_SUPPORT,21.7846,80.1022,98.3,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T08,POSITIVE_DRILLING_INTERSECTION,21.7846,80.1022,98.3,2,Mesoproterozoic sedimentary and volcanic rocks,,3,14,14,1,4,35.09,SIMULATED
T08,NEGATIVE_DRILLING_RESULT,21.7846,80.1022,98.3,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T08,AMBIGUOUS_DRILLING_RESULT,21.7846,80.1022,98.3,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,2,20.43,SIMULATED
T09,NO_SUBSURFACE_EVIDENCE,22.0087,80.6451,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T09,POSITIVE_GEOPHYSICAL_SUPPORT,22.0087,80.6451,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T09,POSITIVE_GEOCHEMICAL_SUPPORT,22.0087,80.6451,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T09,POSITIVE_DRILLING_INTERSECTION,22.0087,80.6451,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,3,18,18,1,6,42.08,SIMULATED
T09,NEGATIVE_DRILLING_RESULT,22.0087,80.6451,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T09,AMBIGUOUS_DRILLING_RESULT,22.0087,80.6451,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,24.91,SIMULATED
T10,NO_SUBSURFACE_EVIDENCE,21.8514,80.0666,98.2,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T10,POSITIVE_GEOPHYSICAL_SUPPORT,21.8514,80.0666,98.2,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T10,POSITIVE_GEOCHEMICAL_SUPPORT,21.8514,80.0666,98.2,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T10,POSITIVE_DRILLING_INTERSECTION,21.8514,80.0666,98.2,2,Mesoproterozoic sedimentary and volcanic rocks,,3,14,14,1,4,39.83,SIMULATED
T10,NEGATIVE_DRILLING_RESULT,21.8514,80.0666,98.2,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T10,AMBIGUOUS_DRILLING_RESULT,21.8514,80.0666,98.2,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,30.75,SIMULATED
T11,NO_SUBSURFACE_EVIDENCE,21.3906,79.5041,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,LANJERA_FUTALA,0,0,0,0,0,,SIMULATED
T11,POSITIVE_GEOPHYSICAL_SUPPORT,21.3906,79.5041,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,LANJERA_FUTALA,0,0,0,1,0,,SIMULATED
T11,POSITIVE_GEOCHEMICAL_SUPPORT,21.3906,79.5041,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,LANJERA_FUTALA,0,0,8,0,0,,SIMULATED
T11,POSITIVE_DRILLING_INTERSECTION,21.3906,79.5041,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,LANJERA_FUTALA,3,12,12,1,3,35.96,SIMULATED
T11,NEGATIVE_DRILLING_RESULT,21.3906,79.5041,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,LANJERA_FUTALA,3,6,6,1,0,,SIMULATED
T11,AMBIGUOUS_DRILLING_RESULT,21.3906,79.5041,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,LANJERA_FUTALA,3,12,12,1,2,26.28,SIMULATED
T12,NO_SUBSURFACE_EVIDENCE,21.3392,79.2444,98.2,2,Archean crystalline metamorphic rocks,,0,0,0,0,0,,SIMULATED
T12,POSITIVE_GEOPHYSICAL_SUPPORT,21.3392,79.2444,98.2,2,Archean crystalline metamorphic rocks,,0,0,0,1,0,,SIMULATED
T12,POSITIVE_GEOCHEMICAL_SUPPORT,21.3392,79.2444,98.2,2,Archean crystalline metamorphic rocks,,0,0,8,0,0,,SIMULATED
T12,POSITIVE_DRILLING_INTERSECTION,21.3392,79.2444,98.2,2,Archean crystalline metamorphic rocks,,3,12,12,1,3,32.73,SIMULATED
T12,NEGATIVE_DRILLING_RESULT,21.3392,79.2444,98.2,2,Archean crystalline metamorphic rocks,,3,6,6,1,0,,SIMULATED
T12,AMBIGUOUS_DRILLING_RESULT,21.3392,79.2444,98.2,2,Archean crystalline metamorphic rocks,,3,12,12,1,3,16.69,SIMULATED
T13,NO_SUBSURFACE_EVIDENCE,21.825,80.815,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T13,POSITIVE_GEOPHYSICAL_SUPPORT,21.825,80.815,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T13,POSITIVE_GEOCHEMICAL_SUPPORT,21.825,80.815,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T13,POSITIVE_DRILLING_INTERSECTION,21.825,80.815,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,3,16,16,1,5,36.98,SIMULATED
T13,NEGATIVE_DRILLING_RESULT,21.825,80.815,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T13,AMBIGUOUS_DRILLING_RESULT,21.825,80.815,98.2,1,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,19.4,SIMULATED
T14,NO_SUBSURFACE_EVIDENCE,21.5708,79.7514,98.1,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T14,POSITIVE_GEOPHYSICAL_SUPPORT,21.5708,79.7514,98.1,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T14,POSITIVE_GEOCHEMICAL_SUPPORT,21.5708,79.7514,98.1,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T14,POSITIVE_DRILLING_INTERSECTION,21.5708,79.7514,98.1,1,Mesoproterozoic sedimentary and volcanic rocks,,3,14,14,1,4,37.93,SIMULATED
T14,NEGATIVE_DRILLING_RESULT,21.5708,79.7514,98.1,1,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T14,AMBIGUOUS_DRILLING_RESULT,21.5708,79.7514,98.1,1,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,22.19,SIMULATED
T15,NO_SUBSURFACE_EVIDENCE,21.99,79.455,98.0,0,Mesozoic-Cenozoic volcanic rocks,,0,0,0,0,0,,SIMULATED
T15,POSITIVE_GEOPHYSICAL_SUPPORT,21.99,79.455,98.0,0,Mesozoic-Cenozoic volcanic rocks,,0,0,0,1,0,,SIMULATED
T15,POSITIVE_GEOCHEMICAL_SUPPORT,21.99,79.455,98.0,0,Mesozoic-Cenozoic volcanic rocks,,0,0,8,0,0,,SIMULATED
T15,POSITIVE_DRILLING_INTERSECTION,21.99,79.455,98.0,0,Mesozoic-Cenozoic volcanic rocks,,3,12,12,1,3,36.23,SIMULATED
T15,NEGATIVE_DRILLING_RESULT,21.99,79.455,98.0,0,Mesozoic-Cenozoic volcanic rocks,,3,6,6,1,0,,SIMULATED
T15,AMBIGUOUS_DRILLING_RESULT,21.99,79.455,98.0,0,Mesozoic-Cenozoic volcanic rocks,,3,12,12,1,3,22.73,SIMULATED
T16,NO_SUBSURFACE_EVIDENCE,21.9812,80.2686,98.0,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T16,POSITIVE_GEOPHYSICAL_SUPPORT,21.9812,80.2686,98.0,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T16,POSITIVE_GEOCHEMICAL_SUPPORT,21.9812,80.2686,98.0,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T16,POSITIVE_DRILLING_INTERSECTION,21.9812,80.2686,98.0,2,Mesoproterozoic sedimentary and volcanic rocks,,3,16,16,1,5,39.37,SIMULATED
T16,NEGATIVE_DRILLING_RESULT,21.9812,80.2686,98.0,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T16,AMBIGUOUS_DRILLING_RESULT,21.9812,80.2686,98.0,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,21.85,SIMULATED
T17,NO_SUBSURFACE_EVIDENCE,21.3383,79.3862,98.0,2,Archean crystalline metamorphic rocks,,0,0,0,0,0,,SIMULATED
T17,POSITIVE_GEOPHYSICAL_SUPPORT,21.3383,79.3862,98.0,2,Archean crystalline metamorphic rocks,,0,0,0,1,0,,SIMULATED
T17,POSITIVE_GEOCHEMICAL_SUPPORT,21.3383,79.3862,98.0,2,Archean crystalline metamorphic rocks,,0,0,8,0,0,,SIMULATED
T17,POSITIVE_DRILLING_INTERSECTION,21.3383,79.3862,98.0,2,Archean crystalline metamorphic rocks,,3,18,18,1,6,37.98,SIMULATED
T17,NEGATIVE_DRILLING_RESULT,21.3383,79.3862,98.0,2,Archean crystalline metamorphic rocks,,3,6,6,1,0,,SIMULATED
T17,AMBIGUOUS_DRILLING_RESULT,21.3383,79.3862,98.0,2,Archean crystalline metamorphic rocks,,3,12,12,1,2,16.14,SIMULATED
T18,NO_SUBSURFACE_EVIDENCE,21.7151,80.119,98.0,2,Archean crystalline metamorphic rocks,,0,0,0,0,0,,SIMULATED
T18,POSITIVE_GEOPHYSICAL_SUPPORT,21.7151,80.119,98.0,2,Archean crystalline metamorphic rocks,,0,0,0,1,0,,SIMULATED
T18,POSITIVE_GEOCHEMICAL_SUPPORT,21.7151,80.119,98.0,2,Archean crystalline metamorphic rocks,,0,0,8,0,0,,SIMULATED
T18,POSITIVE_DRILLING_INTERSECTION,21.7151,80.119,98.0,2,Archean crystalline metamorphic rocks,,3,14,14,1,4,33.03,SIMULATED
T18,NEGATIVE_DRILLING_RESULT,21.7151,80.119,98.0,2,Archean crystalline metamorphic rocks,,3,6,6,1,0,,SIMULATED
T18,AMBIGUOUS_DRILLING_RESULT,21.7151,80.119,98.0,2,Archean crystalline metamorphic rocks,,3,12,12,1,3,24.93,SIMULATED
T19,NO_SUBSURFACE_EVIDENCE,21.7975,80.6275,97.9,1,Archean crystalline metamorphic rocks,,0,0,0,0,0,,SIMULATED
T19,POSITIVE_GEOPHYSICAL_SUPPORT,21.7975,80.6275,97.9,1,Archean crystalline metamorphic rocks,,0,0,0,1,0,,SIMULATED
T19,POSITIVE_GEOCHEMICAL_SUPPORT,21.7975,80.6275,97.9,1,Archean crystalline metamorphic rocks,,0,0,8,0,0,,SIMULATED
T19,POSITIVE_DRILLING_INTERSECTION,21.7975,80.6275,97.9,1,Archean crystalline metamorphic rocks,,3,15,15,1,5,32.89,SIMULATED
T19,NEGATIVE_DRILLING_RESULT,21.7975,80.6275,97.9,1,Archean crystalline metamorphic rocks,,3,6,6,1,0,,SIMULATED
T19,AMBIGUOUS_DRILLING_RESULT,21.7975,80.6275,97.9,1,Archean crystalline metamorphic rocks,,3,12,12,1,2,13.82,SIMULATED
T20,NO_SUBSURFACE_EVIDENCE,22.1061,80.7993,97.9,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T20,POSITIVE_GEOPHYSICAL_SUPPORT,22.1061,80.7993,97.9,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T20,POSITIVE_GEOCHEMICAL_SUPPORT,22.1061,80.7993,97.9,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T20,POSITIVE_DRILLING_INTERSECTION,22.1061,80.7993,97.9,1,Mesoproterozoic sedimentary and volcanic rocks,,3,14,14,1,4,32.36,SIMULATED
T20,NEGATIVE_DRILLING_RESULT,22.1061,80.7993,97.9,1,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T20,AMBIGUOUS_DRILLING_RESULT,22.1061,80.7993,97.9,1,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,3,16.23,SIMULATED
T21,NO_SUBSURFACE_EVIDENCE,21.3662,80.3762,97.9,1,Archean crystalline metamorphic rocks,,0,0,0,0,0,,SIMULATED
T21,POSITIVE_GEOPHYSICAL_SUPPORT,21.3662,80.3762,97.9,1,Archean crystalline metamorphic rocks,,0,0,0,1,0,,SIMULATED
T21,POSITIVE_GEOCHEMICAL_SUPPORT,21.3662,80.3762,97.9,1,Archean crystalline metamorphic rocks,,0,0,8,0,0,,SIMULATED
T21,POSITIVE_DRILLING_INTERSECTION,21.3662,80.3762,97.9,1,Archean crystalline metamorphic rocks,,3,18,18,1,6,36.39,SIMULATED
T21,NEGATIVE_DRILLING_RESULT,21.3662,80.3762,97.9,1,Archean crystalline metamorphic rocks,,3,6,6,1,0,,SIMULATED
T21,AMBIGUOUS_DRILLING_RESULT,21.3662,80.3762,97.9,1,Archean crystalline metamorphic rocks,,3,12,12,1,2,14.49,SIMULATED
T22,NO_SUBSURFACE_EVIDENCE,21.7598,79.9847,97.7,2,Mesoproterozoic sedimentary and volcanic rocks,KATORI_JHIRIYA,0,0,0,0,0,,SIMULATED
T22,POSITIVE_GEOPHYSICAL_SUPPORT,21.7598,79.9847,97.7,2,Mesoproterozoic sedimentary and volcanic rocks,KATORI_JHIRIYA,0,0,0,1,0,,SIMULATED
T22,POSITIVE_GEOCHEMICAL_SUPPORT,21.7598,79.9847,97.7,2,Mesoproterozoic sedimentary and volcanic rocks,KATORI_JHIRIYA,0,0,8,0,0,,SIMULATED
T22,POSITIVE_DRILLING_INTERSECTION,21.7598,79.9847,97.7,2,Mesoproterozoic sedimentary and volcanic rocks,KATORI_JHIRIYA,3,15,15,1,5,37.06,SIMULATED
T22,NEGATIVE_DRILLING_RESULT,21.7598,79.9847,97.7,2,Mesoproterozoic sedimentary and volcanic rocks,KATORI_JHIRIYA,3,6,6,1,0,,SIMULATED
T22,AMBIGUOUS_DRILLING_RESULT,21.7598,79.9847,97.7,2,Mesoproterozoic sedimentary and volcanic rocks,KATORI_JHIRIYA,3,12,12,1,2,18.71,SIMULATED
T23,NO_SUBSURFACE_EVIDENCE,21.4535,79.3742,97.7,2,Archean crystalline metamorphic rocks,,0,0,0,0,0,,SIMULATED
T23,POSITIVE_GEOPHYSICAL_SUPPORT,21.4535,79.3742,97.7,2,Archean crystalline metamorphic rocks,,0,0,0,1,0,,SIMULATED
T23,POSITIVE_GEOCHEMICAL_SUPPORT,21.4535,79.3742,97.7,2,Archean crystalline metamorphic rocks,,0,0,8,0,0,,SIMULATED
T23,POSITIVE_DRILLING_INTERSECTION,21.4535,79.3742,97.7,2,Archean crystalline metamorphic rocks,,3,18,18,1,6,34.28,SIMULATED
T23,NEGATIVE_DRILLING_RESULT,21.4535,79.3742,97.7,2,Archean crystalline metamorphic rocks,,3,6,6,1,0,,SIMULATED
T23,AMBIGUOUS_DRILLING_RESULT,21.4535,79.3742,97.7,2,Archean crystalline metamorphic rocks,,3,12,12,1,3,25.98,SIMULATED
T24,NO_SUBSURFACE_EVIDENCE,22.1101,80.6298,97.6,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T24,POSITIVE_GEOPHYSICAL_SUPPORT,22.1101,80.6298,97.6,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T24,POSITIVE_GEOCHEMICAL_SUPPORT,22.1101,80.6298,97.6,1,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T24,POSITIVE_DRILLING_INTERSECTION,22.1101,80.6298,97.6,1,Mesoproterozoic sedimentary and volcanic rocks,,3,17,17,1,6,39.45,SIMULATED
T24,NEGATIVE_DRILLING_RESULT,22.1101,80.6298,97.6,1,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T24,AMBIGUOUS_DRILLING_RESULT,22.1101,80.6298,97.6,1,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,2,19.22,SIMULATED
T25,NO_SUBSURFACE_EVIDENCE,21.621,79.555,97.6,1,Archean crystalline metamorphic rocks,,0,0,0,0,0,,SIMULATED
T25,POSITIVE_GEOPHYSICAL_SUPPORT,21.621,79.555,97.6,1,Archean crystalline metamorphic rocks,,0,0,0,1,0,,SIMULATED
T25,POSITIVE_GEOCHEMICAL_SUPPORT,21.621,79.555,97.6,1,Archean crystalline metamorphic rocks,,0,0,8,0,0,,SIMULATED
T25,POSITIVE_DRILLING_INTERSECTION,21.621,79.555,97.6,1,Archean crystalline metamorphic rocks,,3,14,14,1,4,39.16,SIMULATED
T25,NEGATIVE_DRILLING_RESULT,21.621,79.555,97.6,1,Archean crystalline metamorphic rocks,,3,6,6,1,0,,SIMULATED
T25,AMBIGUOUS_DRILLING_RESULT,21.621,79.555,97.6,1,Archean crystalline metamorphic rocks,,3,12,12,1,3,24.39,SIMULATED
T26,NO_SUBSURFACE_EVIDENCE,21.8528,80.3822,97.6,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T26,POSITIVE_GEOPHYSICAL_SUPPORT,21.8528,80.3822,97.6,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T26,POSITIVE_GEOCHEMICAL_SUPPORT,21.8528,80.3822,97.6,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T26,POSITIVE_DRILLING_INTERSECTION,21.8528,80.3822,97.6,2,Mesoproterozoic sedimentary and volcanic rocks,,3,14,14,1,4,40.42,SIMULATED
T26,NEGATIVE_DRILLING_RESULT,21.8528,80.3822,97.6,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
T26,AMBIGUOUS_DRILLING_RESULT,21.8528,80.3822,97.6,2,Mesoproterozoic sedimentary and volcanic rocks,,3,12,12,1,2,23.5,SIMULATED
T27,NO_SUBSURFACE_EVIDENCE,21.2175,79.0757,97.5,1,Archean crystalline metamorphic rocks,,0,0,0,0,0,,SIMULATED
T27,POSITIVE_GEOPHYSICAL_SUPPORT,21.2175,79.0757,97.5,1,Archean crystalline metamorphic rocks,,0,0,0,1,0,,SIMULATED
T27,POSITIVE_GEOCHEMICAL_SUPPORT,21.2175,79.0757,97.5,1,Archean crystalline metamorphic rocks,,0,0,8,0,0,,SIMULATED
T27,POSITIVE_DRILLING_INTERSECTION,21.2175,79.0757,97.5,1,Archean crystalline metamorphic rocks,,3,12,12,1,3,36.66,SIMULATED
T27,NEGATIVE_DRILLING_RESULT,21.2175,79.0757,97.5,1,Archean crystalline metamorphic rocks,,3,6,6,1,0,,SIMULATED
T27,AMBIGUOUS_DRILLING_RESULT,21.2175,79.0757,97.5,1,Archean crystalline metamorphic rocks,,3,12,12,1,3,24.94,SIMULATED
T28,NO_SUBSURFACE_EVIDENCE,21.9464,80.1212,97.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,0,0,,SIMULATED
T28,POSITIVE_GEOPHYSICAL_SUPPORT,21.9464,80.1212,97.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,0,1,0,,SIMULATED
T28,POSITIVE_GEOCHEMICAL_SUPPORT,21.9464,80.1212,97.5,2,Mesoproterozoic sedimentary and volcanic rocks,,0,0,8,0,0,,SIMULATED
T28,POSITIVE_DRILLING_INTERSECTION,21.9464,80.1212,97.5,2,Mesoproterozoic sedimentary and volcanic rocks,,3,16,16,1,5,36.91,SIMULATED
T28,NEGATIVE_DRILLING_RESULT,21.9464,80.1212,97.5,2,Mesoproterozoic sedimentary and volcanic rocks,,3,6,6,1,0,,SIMULATED
