borehole_id,target_id,scenario,depth_from_m,depth_to_m,interval_thickness_m,formation,host_lithology,weathering_zone,manganese_presence,mn_grade_pct,grade_category,confidence,evidence_level,provenance
SIM_T01_NEG_BH02,T01,NEGATIVE_DRILLING_RESULT,2.49,74.3,71.81,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.68,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_NEG_BH03,T01,NEGATIVE_DRILLING_RESULT,0.0,2.28,2.28,Sausar Group,weathered zone / laterite cover,True,False,0.3,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_NEG_BH03,T01,NEGATIVE_DRILLING_RESULT,2.28,83.6,81.32,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,1.13,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T01_AMB_BH01,T01,AMBIGUOUS_DRILLING_RESULT,0.0,2.94,2.94,Sausar Group,weathered zone / laterite cover,True,False,0.38,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH01,T01,AMBIGUOUS_DRILLING_RESULT,2.94,49.28,46.35,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.34,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH01,T01,AMBIGUOUS_DRILLING_RESULT,49.28,50.16,0.88,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,17.26,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH01,T01,AMBIGUOUS_DRILLING_RESULT,50.16,62.8,12.64,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.96,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH02,T01,AMBIGUOUS_DRILLING_RESULT,0.0,2.2,2.2,Sausar Group,weathered zone / laterite cover,True,False,0.52,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH02,T01,AMBIGUOUS_DRILLING_RESULT,2.2,16.81,14.62,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.21,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH02,T01,AMBIGUOUS_DRILLING_RESULT,16.81,17.2,0.39,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,10.38,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH02,T01,AMBIGUOUS_DRILLING_RESULT,17.2,93.7,76.5,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.35,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH03,T01,AMBIGUOUS_DRILLING_RESULT,0.0,2.02,2.02,Sausar Group,weathered zone / laterite cover,True,False,0.26,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH03,T01,AMBIGUOUS_DRILLING_RESULT,2.02,43.78,41.76,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.49,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH03,T01,AMBIGUOUS_DRILLING_RESULT,43.78,44.53,0.75,Sausar Group,Mn ore / gondite horizon H1 (Mansar/Chorbaoli contact),False,False,7.96,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T01_AMB_BH03,T01,AMBIGUOUS_DRILLING_RESULT,44.53,96.2,51.67,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.3,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_POS_BH01,T02,POSITIVE_DRILLING_INTERSECTION,0.0,2.24,2.24,Sausar Group,weathered zone / laterite cover,True,False,0.17,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH01,T02,POSITIVE_DRILLING_INTERSECTION,2.24,14.81,12.58,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.32,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH01,T02,POSITIVE_DRILLING_INTERSECTION,14.81,16.34,1.53,Sausar Group,Mn ore / gondite horizon H1 (Mansar/Chorbaoli contact),True,True,34.22,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T02_POS_BH01,T02,POSITIVE_DRILLING_INTERSECTION,16.34,43.94,27.6,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.77,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH01,T02,POSITIVE_DRILLING_INTERSECTION,43.94,45.9,1.96,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,33.11,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T02_POS_BH01,T02,POSITIVE_DRILLING_INTERSECTION,45.9,59.1,13.2,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.5,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH02,T02,POSITIVE_DRILLING_INTERSECTION,0.0,2.69,2.69,Sausar Group,weathered zone / laterite cover,True,False,0.35,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH02,T02,POSITIVE_DRILLING_INTERSECTION,2.69,37.49,34.8,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.23,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH02,T02,POSITIVE_DRILLING_INTERSECTION,37.49,39.31,1.83,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,37.71,MEDIUM (35-46% Mn),MODERATE,3,SIMULATED
SIM_T02_POS_BH02,T02,POSITIVE_DRILLING_INTERSECTION,39.31,52.02,12.71,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.18,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH02,T02,POSITIVE_DRILLING_INTERSECTION,52.02,53.93,1.9,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,40.31,MEDIUM (35-46% Mn),MODERATE,3,SIMULATED
SIM_T02_POS_BH02,T02,POSITIVE_DRILLING_INTERSECTION,53.93,69.0,15.07,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.24,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH03,T02,POSITIVE_DRILLING_INTERSECTION,0.0,2.56,2.56,Sausar Group,weathered zone / laterite cover,True,False,0.3,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH03,T02,POSITIVE_DRILLING_INTERSECTION,2.56,30.27,27.71,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.49,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_POS_BH03,T02,POSITIVE_DRILLING_INTERSECTION,30.27,32.07,1.8,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,37.6,MEDIUM (35-46% Mn),MODERATE,3,SIMULATED
SIM_T02_POS_BH03,T02,POSITIVE_DRILLING_INTERSECTION,32.07,58.6,26.53,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.45,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_NEG_BH01,T02,NEGATIVE_DRILLING_RESULT,0.0,2.73,2.73,Sausar Group,weathered zone / laterite cover,True,False,0.42,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_NEG_BH01,T02,NEGATIVE_DRILLING_RESULT,2.73,69.2,66.47,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.56,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_NEG_BH02,T02,NEGATIVE_DRILLING_RESULT,0.0,2.01,2.01,Sausar Group,weathered zone / laterite cover,True,False,0.27,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_NEG_BH02,T02,NEGATIVE_DRILLING_RESULT,2.01,84.3,82.29,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.18,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_NEG_BH03,T02,NEGATIVE_DRILLING_RESULT,0.0,3.0,3.0,Sausar Group,weathered zone / laterite cover,True,False,0.51,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_NEG_BH03,T02,NEGATIVE_DRILLING_RESULT,3.0,55.3,52.3,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.6,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T02_AMB_BH01,T02,AMBIGUOUS_DRILLING_RESULT,0.0,2.24,2.24,Sausar Group,weathered zone / laterite cover,True,False,0.4,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH01,T02,AMBIGUOUS_DRILLING_RESULT,2.24,62.9,60.67,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.28,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH01,T02,AMBIGUOUS_DRILLING_RESULT,62.9,63.74,0.83,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,22.1,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH01,T02,AMBIGUOUS_DRILLING_RESULT,63.74,90.1,26.36,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.47,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH02,T02,AMBIGUOUS_DRILLING_RESULT,0.0,2.09,2.09,Sausar Group,weathered zone / laterite cover,True,False,0.32,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH02,T02,AMBIGUOUS_DRILLING_RESULT,2.09,33.27,31.17,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.71,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH02,T02,AMBIGUOUS_DRILLING_RESULT,33.27,34.03,0.76,Sausar Group,Mn ore / gondite horizon H1 (Mansar/Chorbaoli contact),False,True,28.42,LOW (25-35% Mn),LOW,3,SIMULATED
SIM_T02_AMB_BH02,T02,AMBIGUOUS_DRILLING_RESULT,34.03,58.7,24.67,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.45,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH03,T02,AMBIGUOUS_DRILLING_RESULT,0.0,2.41,2.41,Sausar Group,weathered zone / laterite cover,True,False,0.25,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH03,T02,AMBIGUOUS_DRILLING_RESULT,2.41,32.61,30.2,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.45,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH03,T02,AMBIGUOUS_DRILLING_RESULT,32.61,33.07,0.47,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,11.29,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T02_AMB_BH03,T02,AMBIGUOUS_DRILLING_RESULT,33.07,70.6,37.53,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.47,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_POS_BH01,T03,POSITIVE_DRILLING_INTERSECTION,0.0,2.21,2.21,Sausar Group,weathered zone / laterite cover,True,False,0.78,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_POS_BH01,T03,POSITIVE_DRILLING_INTERSECTION,2.21,28.25,26.04,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.83,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_POS_BH01,T03,POSITIVE_DRILLING_INTERSECTION,28.25,30.17,1.92,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,29.34,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T03_POS_BH01,T03,POSITIVE_DRILLING_INTERSECTION,30.17,50.5,20.33,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.48,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_POS_BH02,T03,POSITIVE_DRILLING_INTERSECTION,0.0,2.08,2.08,Sausar Group,weathered zone / laterite cover,True,False,0.43,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_POS_BH02,T03,POSITIVE_DRILLING_INTERSECTION,2.08,47.04,44.96,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.49,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_POS_BH02,T03,POSITIVE_DRILLING_INTERSECTION,47.04,48.93,1.88,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,31.27,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T03_POS_BH02,T03,POSITIVE_DRILLING_INTERSECTION,48.93,74.7,25.77,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.23,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_POS_BH03,T03,POSITIVE_DRILLING_INTERSECTION,0.0,2.18,2.18,Sausar Group,weathered zone / laterite cover,True,False,0.39,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_POS_BH03,T03,POSITIVE_DRILLING_INTERSECTION,2.18,31.15,28.97,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.2,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_POS_BH03,T03,POSITIVE_DRILLING_INTERSECTION,31.15,32.95,1.8,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,31.37,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T03_POS_BH03,T03,POSITIVE_DRILLING_INTERSECTION,32.95,81.5,48.55,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.33,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_NEG_BH01,T03,NEGATIVE_DRILLING_RESULT,0.0,2.98,2.98,Sausar Group,weathered zone / laterite cover,True,False,0.32,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_NEG_BH01,T03,NEGATIVE_DRILLING_RESULT,2.98,98.5,95.52,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.17,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_NEG_BH02,T03,NEGATIVE_DRILLING_RESULT,0.0,2.92,2.92,Sausar Group,weathered zone / laterite cover,True,False,0.24,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_NEG_BH02,T03,NEGATIVE_DRILLING_RESULT,2.92,90.1,87.18,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.26,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_NEG_BH03,T03,NEGATIVE_DRILLING_RESULT,0.0,2.86,2.86,Sausar Group,weathered zone / laterite cover,True,False,0.3,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_NEG_BH03,T03,NEGATIVE_DRILLING_RESULT,2.86,81.1,78.24,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.13,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T03_AMB_BH01,T03,AMBIGUOUS_DRILLING_RESULT,0.0,2.19,2.19,Sausar Group,weathered zone / laterite cover,True,False,0.38,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH01,T03,AMBIGUOUS_DRILLING_RESULT,2.19,80.4,78.21,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.35,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH01,T03,AMBIGUOUS_DRILLING_RESULT,80.4,80.93,0.53,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,11.68,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH01,T03,AMBIGUOUS_DRILLING_RESULT,80.93,94.3,13.37,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.26,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH02,T03,AMBIGUOUS_DRILLING_RESULT,0.0,2.54,2.54,Sausar Group,weathered zone / laterite cover,True,False,0.45,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH02,T03,AMBIGUOUS_DRILLING_RESULT,2.54,46.83,44.29,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.51,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH02,T03,AMBIGUOUS_DRILLING_RESULT,46.83,47.54,0.71,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,16.56,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH02,T03,AMBIGUOUS_DRILLING_RESULT,47.54,87.6,40.06,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.74,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH03,T03,AMBIGUOUS_DRILLING_RESULT,0.0,2.65,2.65,Sausar Group,weathered zone / laterite cover,True,False,0.12,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH03,T03,AMBIGUOUS_DRILLING_RESULT,2.65,45.76,43.1,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.69,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH03,T03,AMBIGUOUS_DRILLING_RESULT,45.76,46.09,0.33,Sausar Group,Mn ore / gondite horizon H3 (Mansar/Lohangi-Sitasaongi contact),False,True,21.59,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T03_AMB_BH03,T03,AMBIGUOUS_DRILLING_RESULT,46.09,55.1,9.01,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.53,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_POS_BH01,T04,POSITIVE_DRILLING_INTERSECTION,0.0,2.57,2.57,Sausar Group,weathered zone / laterite cover,True,False,0.26,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_POS_BH01,T04,POSITIVE_DRILLING_INTERSECTION,2.57,18.28,15.71,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,1.17,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_POS_BH01,T04,POSITIVE_DRILLING_INTERSECTION,18.28,20.17,1.89,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,36.97,MEDIUM (35-46% Mn),MODERATE,3,SIMULATED
SIM_T04_POS_BH01,T04,POSITIVE_DRILLING_INTERSECTION,20.17,62.1,41.93,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.76,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_POS_BH02,T04,POSITIVE_DRILLING_INTERSECTION,0.0,2.02,2.02,Sausar Group,weathered zone / laterite cover,True,False,0.79,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_POS_BH02,T04,POSITIVE_DRILLING_INTERSECTION,2.02,26.3,24.28,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.49,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_POS_BH02,T04,POSITIVE_DRILLING_INTERSECTION,26.3,28.25,1.95,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,33.31,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T04_POS_BH02,T04,POSITIVE_DRILLING_INTERSECTION,28.25,67.3,39.05,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.41,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_POS_BH03,T04,POSITIVE_DRILLING_INTERSECTION,0.0,2.05,2.05,Sausar Group,weathered zone / laterite cover,True,False,0.67,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_POS_BH03,T04,POSITIVE_DRILLING_INTERSECTION,2.05,37.01,34.96,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.48,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_POS_BH03,T04,POSITIVE_DRILLING_INTERSECTION,37.01,38.62,1.62,Sausar Group,Mn ore / gondite horizon H1 (Mansar/Chorbaoli contact),False,True,30.17,LOW (25-35% Mn),MODERATE,3,SIMULATED
SIM_T04_POS_BH03,T04,POSITIVE_DRILLING_INTERSECTION,38.62,63.7,25.08,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.44,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_NEG_BH01,T04,NEGATIVE_DRILLING_RESULT,0.0,2.68,2.68,Sausar Group,weathered zone / laterite cover,True,False,0.21,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_NEG_BH01,T04,NEGATIVE_DRILLING_RESULT,2.68,69.8,67.12,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.4,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_NEG_BH02,T04,NEGATIVE_DRILLING_RESULT,0.0,2.1,2.1,Sausar Group,weathered zone / laterite cover,True,False,0.86,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_NEG_BH02,T04,NEGATIVE_DRILLING_RESULT,2.1,78.5,76.4,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.43,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_NEG_BH03,T04,NEGATIVE_DRILLING_RESULT,0.0,2.58,2.58,Sausar Group,weathered zone / laterite cover,True,False,0.63,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_NEG_BH03,T04,NEGATIVE_DRILLING_RESULT,2.58,80.4,77.82,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.48,BELOW 25% Mn,MODERATE,3,SIMULATED
SIM_T04_AMB_BH01,T04,AMBIGUOUS_DRILLING_RESULT,0.0,2.28,2.28,Sausar Group,weathered zone / laterite cover,True,False,0.58,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_AMB_BH01,T04,AMBIGUOUS_DRILLING_RESULT,2.28,32.73,30.45,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.39,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_AMB_BH01,T04,AMBIGUOUS_DRILLING_RESULT,32.73,33.25,0.52,Sausar Group,Mn ore / gondite horizon H1 (Mansar/Chorbaoli contact),False,True,18.64,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_AMB_BH01,T04,AMBIGUOUS_DRILLING_RESULT,33.25,94.1,60.85,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.22,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_AMB_BH02,T04,AMBIGUOUS_DRILLING_RESULT,0.0,2.85,2.85,Sausar Group,weathered zone / laterite cover,True,False,0.48,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_AMB_BH02,T04,AMBIGUOUS_DRILLING_RESULT,2.85,41.62,38.78,Sausar Group,quartz-mica schist / calc-silicate (host),True,False,0.39,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_AMB_BH02,T04,AMBIGUOUS_DRILLING_RESULT,41.62,42.38,0.75,Sausar Group,Mn ore / gondite horizon H2 (within Mansar Formation),False,True,15.26,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_AMB_BH02,T04,AMBIGUOUS_DRILLING_RESULT,42.38,54.8,12.42,Sausar Group,quartz-mica schist / calc-silicate (host),False,False,0.23,BELOW 25% Mn,LOW,3,SIMULATED
SIM_T04_AMB_BH03,T04,AMBIGUOUS_DRILLING_RESULT,0.0,2.85,2.85,Sausar Group,weathered zone / laterite cover,True,False,0.3,BELOW 25% Mn,LOW,3,SIMULATED
