borehole_id,target_id,scenario,latitude,longitude,azimuth,dip,total_depth_m,bed_dip_deg,formation_context,generation_basis,provenance
SIM_T03_AMB_BH03,T03,AMBIGUOUS_DRILLING_RESULT,21.98615,80.382628,337.5,-60.0,55.1,64.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_POS_BH01,T04,POSITIVE_DRILLING_INTERSECTION,21.397259,79.42628,341.0,-60.0,62.1,66.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_POS_BH02,T04,POSITIVE_DRILLING_INTERSECTION,21.398188,79.42744,356.8,-60.0,67.3,46.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_POS_BH03,T04,POSITIVE_DRILLING_INTERSECTION,21.396799,79.431022,343.9,-60.0,63.7,66.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_NEG_BH01,T04,NEGATIVE_DRILLING_RESULT,21.399846,79.427721,335.2,-60.0,69.8,76.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_NEG_BH02,T04,NEGATIVE_DRILLING_RESULT,21.39854,79.428494,331.1,-60.0,78.5,72.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_NEG_BH03,T04,NEGATIVE_DRILLING_RESULT,21.397885,79.431938,336.4,-60.0,80.4,56.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_AMB_BH01,T04,AMBIGUOUS_DRILLING_RESULT,21.400962,79.427316,335.9,-60.0,94.1,71.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_AMB_BH02,T04,AMBIGUOUS_DRILLING_RESULT,21.397634,79.428885,335.9,-60.0,54.8,64.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T04_AMB_BH03,T04,AMBIGUOUS_DRILLING_RESULT,21.402173,79.431059,353.6,-60.0,85.5,53.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_POS_BH01,T05,POSITIVE_DRILLING_INTERSECTION,21.821869,80.224434,338.9,-60.0,53.1,54.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_POS_BH02,T05,POSITIVE_DRILLING_INTERSECTION,21.821806,80.22568,346.7,-60.0,70.4,57.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_POS_BH03,T05,POSITIVE_DRILLING_INTERSECTION,21.821791,80.227091,351.9,-60.0,80.5,78.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_NEG_BH01,T05,NEGATIVE_DRILLING_RESULT,21.821679,80.222856,344.6,-60.0,93.0,73.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_NEG_BH02,T05,NEGATIVE_DRILLING_RESULT,21.822288,80.224698,344.3,-60.0,96.6,66.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_NEG_BH03,T05,NEGATIVE_DRILLING_RESULT,21.824253,80.228158,344.9,-60.0,82.6,69.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_AMB_BH01,T05,AMBIGUOUS_DRILLING_RESULT,21.819496,80.224519,341.0,-60.0,87.4,56.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_AMB_BH02,T05,AMBIGUOUS_DRILLING_RESULT,21.821874,80.224822,340.0,-60.0,86.9,58.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T05_AMB_BH03,T05,AMBIGUOUS_DRILLING_RESULT,21.818785,80.22303,331.4,-60.0,82.8,52.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_POS_BH01,T06,POSITIVE_DRILLING_INTERSECTION,21.873279,80.1643,328.0,-60.0,55.0,77.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_POS_BH02,T06,POSITIVE_DRILLING_INTERSECTION,21.874897,80.172167,334.7,-60.0,55.2,51.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_POS_BH03,T06,POSITIVE_DRILLING_INTERSECTION,21.879799,80.16805,343.7,-60.0,83.4,65.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_NEG_BH01,T06,NEGATIVE_DRILLING_RESULT,21.874585,80.166869,340.5,-60.0,98.2,78.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_NEG_BH02,T06,NEGATIVE_DRILLING_RESULT,21.87555,80.169608,345.7,-60.0,55.9,59.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_NEG_BH03,T06,NEGATIVE_DRILLING_RESULT,21.873722,80.168552,347.4,-60.0,73.1,46.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_AMB_BH01,T06,AMBIGUOUS_DRILLING_RESULT,21.874835,80.17342,343.3,-60.0,51.8,60.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_AMB_BH02,T06,AMBIGUOUS_DRILLING_RESULT,21.878819,80.16577,348.3,-60.0,54.7,78.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T06_AMB_BH03,T06,AMBIGUOUS_DRILLING_RESULT,21.880625,80.170005,338.2,-60.0,57.9,46.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_POS_BH01,T07,POSITIVE_DRILLING_INTERSECTION,21.360787,79.313614,336.7,-60.0,99.1,46.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_POS_BH02,T07,POSITIVE_DRILLING_INTERSECTION,21.356879,79.314418,338.4,-60.0,59.9,49.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_POS_BH03,T07,POSITIVE_DRILLING_INTERSECTION,21.361314,79.318795,341.3,-60.0,69.6,61.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_NEG_BH01,T07,NEGATIVE_DRILLING_RESULT,21.364128,79.314327,322.2,-60.0,70.1,56.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_NEG_BH02,T07,NEGATIVE_DRILLING_RESULT,21.361108,79.314016,341.4,-60.0,58.8,51.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_NEG_BH03,T07,NEGATIVE_DRILLING_RESULT,21.358493,79.312275,340.3,-60.0,88.6,72.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_AMB_BH01,T07,AMBIGUOUS_DRILLING_RESULT,21.35858,79.314452,332.7,-60.0,70.5,51.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_AMB_BH02,T07,AMBIGUOUS_DRILLING_RESULT,21.367228,79.311246,343.2,-60.0,97.2,49.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T07_AMB_BH03,T07,AMBIGUOUS_DRILLING_RESULT,21.356572,79.316097,325.1,-60.0,87.2,63.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_POS_BH01,T08,POSITIVE_DRILLING_INTERSECTION,21.782102,80.10302,335.3,-60.0,87.3,75.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_POS_BH02,T08,POSITIVE_DRILLING_INTERSECTION,21.784675,80.102018,339.7,-60.0,79.0,74.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_POS_BH03,T08,POSITIVE_DRILLING_INTERSECTION,21.783469,80.104398,346.3,-60.0,95.5,69.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_NEG_BH01,T08,NEGATIVE_DRILLING_RESULT,21.786218,80.102391,315.6,-60.0,80.1,63.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_NEG_BH02,T08,NEGATIVE_DRILLING_RESULT,21.783949,80.101545,338.5,-60.0,88.5,60.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_NEG_BH03,T08,NEGATIVE_DRILLING_RESULT,21.780694,80.098252,342.7,-60.0,87.8,62.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_AMB_BH01,T08,AMBIGUOUS_DRILLING_RESULT,21.787718,80.100448,337.7,-60.0,65.2,74.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_AMB_BH02,T08,AMBIGUOUS_DRILLING_RESULT,21.784001,80.103544,344.8,-60.0,58.9,56.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T08_AMB_BH03,T08,AMBIGUOUS_DRILLING_RESULT,21.787451,80.098948,347.2,-60.0,65.0,62.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_POS_BH01,T09,POSITIVE_DRILLING_INTERSECTION,22.007893,80.643374,352.9,-60.0,58.7,57.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_POS_BH02,T09,POSITIVE_DRILLING_INTERSECTION,22.009177,80.644923,335.7,-60.0,84.4,50.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_POS_BH03,T09,POSITIVE_DRILLING_INTERSECTION,22.007796,80.643768,344.3,-60.0,96.5,67.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_NEG_BH01,T09,NEGATIVE_DRILLING_RESULT,22.010693,80.643113,342.9,-60.0,60.0,58.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_NEG_BH02,T09,NEGATIVE_DRILLING_RESULT,22.011018,80.650815,343.7,-60.0,51.9,57.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_NEG_BH03,T09,NEGATIVE_DRILLING_RESULT,22.008635,80.646161,338.0,-60.0,58.9,63.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_AMB_BH01,T09,AMBIGUOUS_DRILLING_RESULT,22.010745,80.646654,339.0,-60.0,60.1,45.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_AMB_BH02,T09,AMBIGUOUS_DRILLING_RESULT,22.009123,80.645881,345.0,-60.0,92.8,66.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T09_AMB_BH03,T09,AMBIGUOUS_DRILLING_RESULT,22.007997,80.645598,348.5,-60.0,98.4,72.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_POS_BH01,T10,POSITIVE_DRILLING_INTERSECTION,21.855422,80.067698,347.3,-60.0,56.8,75.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_POS_BH02,T10,POSITIVE_DRILLING_INTERSECTION,21.849812,80.064401,342.3,-60.0,80.6,67.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_POS_BH03,T10,POSITIVE_DRILLING_INTERSECTION,21.849911,80.066491,351.7,-60.0,52.0,55.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_NEG_BH01,T10,NEGATIVE_DRILLING_RESULT,21.851654,80.060472,327.2,-60.0,70.2,47.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_NEG_BH02,T10,NEGATIVE_DRILLING_RESULT,21.848239,80.067493,351.4,-60.0,68.5,75.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_NEG_BH03,T10,NEGATIVE_DRILLING_RESULT,21.852139,80.065614,359.4,-60.0,61.7,74.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_AMB_BH01,T10,AMBIGUOUS_DRILLING_RESULT,21.853916,80.068881,340.1,-60.0,76.1,57.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_AMB_BH02,T10,AMBIGUOUS_DRILLING_RESULT,21.851047,80.065216,355.0,-60.0,79.8,45.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T10_AMB_BH03,T10,AMBIGUOUS_DRILLING_RESULT,21.85117,80.069786,336.5,-60.0,56.2,77.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_POS_BH01,T11,POSITIVE_DRILLING_INTERSECTION,21.392868,79.508314,334.2,-60.0,52.5,67.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_POS_BH02,T11,POSITIVE_DRILLING_INTERSECTION,21.38953,79.503294,345.4,-60.0,97.5,73.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_POS_BH03,T11,POSITIVE_DRILLING_INTERSECTION,21.388785,79.504173,319.7,-60.0,95.7,63.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_NEG_BH01,T11,NEGATIVE_DRILLING_RESULT,21.391098,79.506117,344.8,-60.0,84.6,65.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_NEG_BH02,T11,NEGATIVE_DRILLING_RESULT,21.390622,79.506972,345.6,-60.0,50.8,79.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_NEG_BH03,T11,NEGATIVE_DRILLING_RESULT,21.391684,79.504589,341.5,-60.0,58.3,66.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_AMB_BH01,T11,AMBIGUOUS_DRILLING_RESULT,21.38713,79.5051,323.2,-60.0,57.2,60.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_AMB_BH02,T11,AMBIGUOUS_DRILLING_RESULT,21.390966,79.503954,343.8,-60.0,54.1,64.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T11_AMB_BH03,T11,AMBIGUOUS_DRILLING_RESULT,21.392677,79.503012,354.1,-60.0,69.7,78.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_POS_BH01,T12,POSITIVE_DRILLING_INTERSECTION,21.339525,79.246973,331.7,-60.0,62.4,79.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_POS_BH02,T12,POSITIVE_DRILLING_INTERSECTION,21.342332,79.245417,322.3,-60.0,59.1,61.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_POS_BH03,T12,POSITIVE_DRILLING_INTERSECTION,21.340914,79.242176,348.4,-60.0,82.6,63.4,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_NEG_BH01,T12,NEGATIVE_DRILLING_RESULT,21.338861,79.248083,327.4,-60.0,77.0,69.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_NEG_BH02,T12,NEGATIVE_DRILLING_RESULT,21.337537,79.240847,350.2,-60.0,53.1,62.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_NEG_BH03,T12,NEGATIVE_DRILLING_RESULT,21.339863,79.2459,348.7,-60.0,71.7,65.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_AMB_BH01,T12,AMBIGUOUS_DRILLING_RESULT,21.338345,79.249669,345.6,-60.0,82.2,68.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_AMB_BH02,T12,AMBIGUOUS_DRILLING_RESULT,21.337913,79.243881,349.7,-60.0,76.3,59.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T12_AMB_BH03,T12,AMBIGUOUS_DRILLING_RESULT,21.338967,79.248084,359.2,-60.0,55.4,77.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_POS_BH01,T13,POSITIVE_DRILLING_INTERSECTION,21.823337,80.815793,343.1,-60.0,61.1,79.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_POS_BH02,T13,POSITIVE_DRILLING_INTERSECTION,21.82053,80.815715,359.4,-60.0,85.8,69.9,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_POS_BH03,T13,POSITIVE_DRILLING_INTERSECTION,21.827843,80.814197,332.5,-60.0,62.2,65.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_NEG_BH01,T13,NEGATIVE_DRILLING_RESULT,21.825238,80.815636,332.2,-60.0,69.0,67.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_NEG_BH02,T13,NEGATIVE_DRILLING_RESULT,21.827767,80.816281,356.3,-60.0,60.8,50.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_NEG_BH03,T13,NEGATIVE_DRILLING_RESULT,21.824469,80.814075,320.3,-60.0,86.2,73.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_AMB_BH01,T13,AMBIGUOUS_DRILLING_RESULT,21.820911,80.812549,355.0,-60.0,93.7,77.2,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_AMB_BH02,T13,AMBIGUOUS_DRILLING_RESULT,21.824016,80.815402,336.3,-60.0,81.6,60.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T13_AMB_BH03,T13,AMBIGUOUS_DRILLING_RESULT,21.823309,80.816718,342.1,-60.0,58.7,55.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_POS_BH01,T14,POSITIVE_DRILLING_INTERSECTION,21.572175,79.752492,342.4,-60.0,82.4,69.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_POS_BH02,T14,POSITIVE_DRILLING_INTERSECTION,21.570572,79.754953,342.4,-60.0,63.7,56.6,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_POS_BH03,T14,POSITIVE_DRILLING_INTERSECTION,21.572177,79.753353,340.4,-60.0,55.7,55.5,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_NEG_BH01,T14,NEGATIVE_DRILLING_RESULT,21.572842,79.750303,340.4,-60.0,51.7,68.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_NEG_BH02,T14,NEGATIVE_DRILLING_RESULT,21.567112,79.75191,334.1,-60.0,87.8,78.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_NEG_BH03,T14,NEGATIVE_DRILLING_RESULT,21.572618,79.749097,351.1,-60.0,80.8,64.1,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_AMB_BH01,T14,AMBIGUOUS_DRILLING_RESULT,21.571484,79.750105,356.4,-60.0,97.2,52.8,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_AMB_BH02,T14,AMBIGUOUS_DRILLING_RESULT,21.574287,79.752937,334.4,-60.0,67.8,62.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T14_AMB_BH03,T14,AMBIGUOUS_DRILLING_RESULT,21.571769,79.752808,329.9,-60.0,93.3,55.0,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T15_POS_BH01,T15,POSITIVE_DRILLING_INTERSECTION,21.987961,79.455331,339.4,-60.0,53.8,53.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T15_POS_BH02,T15,POSITIVE_DRILLING_INTERSECTION,21.988662,79.454853,344.3,-60.0,89.6,45.7,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
SIM_T15_POS_BH03,T15,POSITIVE_DRILLING_INTERSECTION,21.993342,79.455987,339.6,-60.0,78.1,74.3,Sausar Group (Mansar Formation host),NMET-reported structure/depths + target prospectivity,SIMULATED
