target_id,scenario,method,response,background,anomaly_strength,depth_or_scale,noise,confidence,provenance
T09,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.1,8.0,0.137,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T09,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.96,8.0,0.62,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T10,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.11,8.0,0.889,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T10,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),19.1,8.0,1.387,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T10,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.05,8.0,0.132,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T10,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),10.78,8.0,0.348,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T11,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),12.93,8.0,0.616,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T11,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.73,8.0,0.841,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T11,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.73,8.0,0.091,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T11,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),14.5,8.0,0.812,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T12,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),13.23,8.0,0.654,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T12,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.37,8.0,0.796,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T12,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.74,8.0,0.218,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T12,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.89,8.0,0.612,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T13,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.56,8.0,0.946,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T13,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),13.86,8.0,0.732,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T13,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.83,8.0,0.228,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T13,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),13.55,8.0,0.693,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T14,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.83,8.0,0.979,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T14,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),15.3,8.0,0.913,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T14,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.98,8.0,0.122,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T14,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.74,8.0,0.592,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T15,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.38,8.0,0.797,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T15,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),15.72,8.0,0.965,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T15,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.66,8.0,0.082,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T15,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.72,8.0,0.59,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T16,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.98,8.0,0.872,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T16,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),15.0,8.0,0.875,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T16,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.74,8.0,0.093,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T16,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),10.9,8.0,0.362,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T17,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),16.82,8.0,1.103,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T17,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),18.93,8.0,1.366,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T17,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.64,8.0,0.205,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T17,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.6,8.0,0.574,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T18,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),16.42,8.0,1.053,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T18,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),17.0,8.0,1.126,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T18,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.53,8.0,0.066,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T18,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.62,8.0,0.452,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T19,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.23,8.0,0.779,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T19,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.05,8.0,1.006,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T19,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),11.4,8.0,0.425,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T19,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),9.61,8.0,0.201,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T20,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),13.17,8.0,0.647,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T20,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.1,8.0,0.762,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T20,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.15,8.0,0.019,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T20,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),14.21,8.0,0.776,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T21,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.1,8.0,0.887,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T21,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.95,8.0,1.119,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T21,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),10.7,8.0,0.337,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T21,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),10.42,8.0,0.302,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T22,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.91,8.0,0.989,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T22,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),15.6,8.0,0.95,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T22,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.39,8.0,0.174,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T22,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.39,8.0,0.549,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T23,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),13.77,8.0,0.722,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T23,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),19.1,8.0,1.387,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T23,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),7.47,8.0,-0.066,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T23,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.3,8.0,0.413,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T24,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.29,8.0,0.911,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T24,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),17.18,8.0,1.147,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T24,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.55,8.0,0.068,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T24,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),13.64,8.0,0.705,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T25,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.62,8.0,0.827,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T25,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),18.47,8.0,1.308,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T25,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.68,8.0,0.086,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T25,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.97,8.0,0.496,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T26,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.91,8.0,0.863,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T26,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),17.44,8.0,1.18,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T26,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.33,8.0,0.041,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T26,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.47,8.0,0.559,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T27,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.1,8.0,0.762,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T27,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.9,8.0,1.113,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T27,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.48,8.0,0.06,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T27,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.93,8.0,0.616,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T28,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),17.08,8.0,1.135,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T28,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),12.67,8.0,0.584,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T28,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.54,8.0,0.068,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T28,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),10.89,8.0,0.361,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T29,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),17.65,8.0,1.207,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T29,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.48,8.0,1.06,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T29,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.49,8.0,0.061,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T29,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),13.12,8.0,0.641,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T30,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),19.2,8.0,1.4,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T30,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.28,8.0,1.035,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T30,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),7.51,8.0,-0.061,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T30,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.97,8.0,0.496,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T31,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.14,8.0,0.767,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T31,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),19.34,8.0,1.418,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T31,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.76,8.0,0.095,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T31,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),14.04,8.0,0.754,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T32,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),17.22,8.0,1.153,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T32,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),18.75,8.0,1.343,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T32,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),10.05,8.0,0.256,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T32,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.25,8.0,0.532,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T33,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.08,8.0,0.885,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T33,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),17.18,8.0,1.148,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T33,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.99,8.0,0.123,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T33,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.65,8.0,0.457,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T34,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.05,8.0,0.881,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T34,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.97,8.0,1.121,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T34,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.67,8.0,0.083,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T34,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.3,8.0,0.537,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T35,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),20.16,8.0,1.52,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T35,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.9,8.0,0.862,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T35,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.8,8.0,0.225,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T35,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.06,8.0,0.383,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T36,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),19.89,8.0,1.487,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T36,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),18.24,8.0,1.28,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T36,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),6.78,8.0,-0.153,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T36,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),9.87,8.0,0.233,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T37,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.15,8.0,0.769,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T37,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),16.24,8.0,1.03,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T37,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),7.01,8.0,-0.124,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T37,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),13.14,8.0,0.642,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T38,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),14.38,8.0,0.797,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T38,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),11.3,8.0,0.413,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T38,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),9.23,8.0,0.154,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T38,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.79,8.0,0.474,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T39,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),17.11,8.0,1.139,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T39,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),13.32,8.0,0.665,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T39,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.1,8.0,0.013,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T39,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),12.23,8.0,0.529,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T40,POSITIVE_GEOPHYSICAL_SUPPORT,IP chargeability (simulated),15.55,8.0,0.944,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T40,POSITIVE_DRILLING_INTERSECTION,IP chargeability (simulated),14.05,8.0,0.756,30-80 m (dipole spacing),1.0,MODERATE,SIMULATED
T40,NEGATIVE_DRILLING_RESULT,IP chargeability (simulated),8.82,8.0,0.103,30-80 m (dipole spacing),1.0,LOW,SIMULATED
T40,AMBIGUOUS_DRILLING_RESULT,IP chargeability (simulated),11.06,8.0,0.383,30-80 m (dipole spacing),1.0,LOW,SIMULATED
