sample_id,target_id,scenario,borehole_id,depth_from_m,depth_to_m,sample_type,mn_pct,fe_pct,sio2_pct,sample_quality,provenance
SIM_T02_SS05,T02,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),9.27,4.71,52.45,SIMULATED_SCREENING,SIMULATED
SIM_T02_SS06,T02,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),16.27,4.33,50.5,SIMULATED_SCREENING,SIMULATED
SIM_T02_SS07,T02,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),21.38,5.19,46.44,SIMULATED_SCREENING,SIMULATED
SIM_T02_SS08,T02,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),15.28,5.0,46.42,SIMULATED_SCREENING,SIMULATED
SIM_T02_POS_BH01_001,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH01,0.0,2.24,drill core (simulated),0.17,3.33,60.73,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH01_002,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH01,2.24,14.81,drill core (simulated),0.32,4.56,58.31,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH01_003,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH01,14.81,16.34,drill core (simulated),34.22,6.23,17.41,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH01_004,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH01,16.34,43.94,drill core (simulated),0.77,5.26,56.58,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH01_005,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH01,43.94,45.9,drill core (simulated),33.11,3.36,18.22,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH01_006,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH01,45.9,59.1,drill core (simulated),0.5,6.3,48.8,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH02_007,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH02,0.0,2.69,drill core (simulated),0.35,6.48,53.82,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH02_008,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH02,2.69,37.49,drill core (simulated),0.23,6.76,56.86,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH02_009,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH02,37.49,39.31,drill core (simulated),37.71,7.1,16.4,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH02_010,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH02,39.31,52.02,drill core (simulated),0.18,4.22,50.97,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH02_011,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH02,52.02,53.93,drill core (simulated),40.31,4.95,13.36,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH02_012,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH02,53.93,69.0,drill core (simulated),0.24,3.99,50.7,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH03_013,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH03,0.0,2.56,drill core (simulated),0.3,7.21,48.51,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH03_014,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH03,2.56,30.27,drill core (simulated),0.49,6.22,54.57,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH03_015,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH03,30.27,32.07,drill core (simulated),37.6,6.35,15.13,SIMULATED_ASSAY,SIMULATED
SIM_T02_POS_BH03_016,T02,POSITIVE_DRILLING_INTERSECTION,SIM_T02_POS_BH03,32.07,58.6,drill core (simulated),0.45,4.77,57.11,SIMULATED_ASSAY,SIMULATED
SIM_T02_NEG_BH01_001,T02,NEGATIVE_DRILLING_RESULT,SIM_T02_NEG_BH01,0.0,2.73,drill core (simulated),0.42,6.26,63.14,SIMULATED_ASSAY,SIMULATED
SIM_T02_NEG_BH01_002,T02,NEGATIVE_DRILLING_RESULT,SIM_T02_NEG_BH01,2.73,69.2,drill core (simulated),0.56,1.99,56.77,SIMULATED_ASSAY,SIMULATED
SIM_T02_NEG_BH02_003,T02,NEGATIVE_DRILLING_RESULT,SIM_T02_NEG_BH02,0.0,2.01,drill core (simulated),0.27,5.41,61.15,SIMULATED_ASSAY,SIMULATED
SIM_T02_NEG_BH02_004,T02,NEGATIVE_DRILLING_RESULT,SIM_T02_NEG_BH02,2.01,84.3,drill core (simulated),0.18,4.29,58.33,SIMULATED_ASSAY,SIMULATED
SIM_T02_NEG_BH03_005,T02,NEGATIVE_DRILLING_RESULT,SIM_T02_NEG_BH03,0.0,3.0,drill core (simulated),0.51,5.3,56.92,SIMULATED_ASSAY,SIMULATED
SIM_T02_NEG_BH03_006,T02,NEGATIVE_DRILLING_RESULT,SIM_T02_NEG_BH03,3.0,55.3,drill core (simulated),0.6,4.6,61.13,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH01_001,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH01,0.0,2.24,drill core (simulated),0.4,3.74,58.55,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH01_002,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH01,2.24,62.9,drill core (simulated),0.28,4.46,52.67,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH01_003,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH01,62.9,63.74,drill core (simulated),22.1,3.93,28.19,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH01_004,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH01,63.74,90.1,drill core (simulated),0.47,4.8,60.85,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH02_005,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH02,0.0,2.09,drill core (simulated),0.32,4.5,64.4,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH02_006,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH02,2.09,33.27,drill core (simulated),0.71,5.52,57.21,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH02_007,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH02,33.27,34.03,drill core (simulated),28.42,6.1,23.6,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH02_008,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH02,34.03,58.7,drill core (simulated),0.45,5.5,52.93,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH03_009,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH03,0.0,2.41,drill core (simulated),0.25,4.57,55.56,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH03_010,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH03,2.41,32.61,drill core (simulated),0.45,6.6,55.96,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH03_011,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH03,32.61,33.07,drill core (simulated),11.29,9.9,35.97,SIMULATED_ASSAY,SIMULATED
SIM_T02_AMB_BH03_012,T02,AMBIGUOUS_DRILLING_RESULT,SIM_T02_AMB_BH03,33.07,70.6,drill core (simulated),0.47,5.87,58.55,SIMULATED_ASSAY,SIMULATED
SIM_T03_SS01,T03,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),11.13,5.8,56.55,SIMULATED_SCREENING,SIMULATED
SIM_T03_SS02,T03,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),17.05,4.66,49.88,SIMULATED_SCREENING,SIMULATED
SIM_T03_SS03,T03,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),13.46,6.12,43.25,SIMULATED_SCREENING,SIMULATED
SIM_T03_SS04,T03,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),13.34,2.61,44.68,SIMULATED_SCREENING,SIMULATED
SIM_T03_SS05,T03,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),24.18,6.07,40.2,SIMULATED_SCREENING,SIMULATED
SIM_T03_SS06,T03,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),8.87,1.44,51.62,SIMULATED_SCREENING,SIMULATED
SIM_T03_SS07,T03,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),34.99,5.52,33.27,SIMULATED_SCREENING,SIMULATED
SIM_T03_SS08,T03,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),17.65,3.13,46.45,SIMULATED_SCREENING,SIMULATED
SIM_T03_POS_BH01_001,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH01,0.0,2.21,drill core (simulated),0.78,4.34,66.42,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH01_002,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH01,2.21,28.25,drill core (simulated),0.83,7.35,59.55,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH01_003,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH01,28.25,30.17,drill core (simulated),29.34,5.33,20.85,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH01_004,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH01,30.17,50.5,drill core (simulated),0.48,4.19,61.82,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH02_005,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH02,0.0,2.08,drill core (simulated),0.43,5.99,62.24,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH02_006,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH02,2.08,47.04,drill core (simulated),0.49,8.05,59.78,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH02_007,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH02,47.04,48.93,drill core (simulated),31.27,4.87,19.75,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH02_008,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH02,48.93,74.7,drill core (simulated),0.23,4.89,52.67,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH03_009,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH03,0.0,2.18,drill core (simulated),0.39,5.28,52.6,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH03_010,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH03,2.18,31.15,drill core (simulated),0.2,4.62,65.49,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH03_011,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH03,31.15,32.95,drill core (simulated),31.37,4.27,17.95,SIMULATED_ASSAY,SIMULATED
SIM_T03_POS_BH03_012,T03,POSITIVE_DRILLING_INTERSECTION,SIM_T03_POS_BH03,32.95,81.5,drill core (simulated),0.33,8.0,62.29,SIMULATED_ASSAY,SIMULATED
SIM_T03_NEG_BH01_001,T03,NEGATIVE_DRILLING_RESULT,SIM_T03_NEG_BH01,0.0,2.98,drill core (simulated),0.32,5.36,62.88,SIMULATED_ASSAY,SIMULATED
SIM_T03_NEG_BH01_002,T03,NEGATIVE_DRILLING_RESULT,SIM_T03_NEG_BH01,2.98,98.5,drill core (simulated),0.17,6.91,54.53,SIMULATED_ASSAY,SIMULATED
SIM_T03_NEG_BH02_003,T03,NEGATIVE_DRILLING_RESULT,SIM_T03_NEG_BH02,0.0,2.92,drill core (simulated),0.24,5.67,49.46,SIMULATED_ASSAY,SIMULATED
SIM_T03_NEG_BH02_004,T03,NEGATIVE_DRILLING_RESULT,SIM_T03_NEG_BH02,2.92,90.1,drill core (simulated),0.26,5.36,62.28,SIMULATED_ASSAY,SIMULATED
SIM_T03_NEG_BH03_005,T03,NEGATIVE_DRILLING_RESULT,SIM_T03_NEG_BH03,0.0,2.86,drill core (simulated),0.3,3.44,66.18,SIMULATED_ASSAY,SIMULATED
SIM_T03_NEG_BH03_006,T03,NEGATIVE_DRILLING_RESULT,SIM_T03_NEG_BH03,2.86,81.1,drill core (simulated),0.13,4.39,73.3,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH01_001,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH01,0.0,2.19,drill core (simulated),0.38,5.25,47.62,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH01_002,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH01,2.19,80.4,drill core (simulated),0.35,7.5,56.95,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH01_003,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH01,80.4,80.93,drill core (simulated),11.68,6.48,35.81,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH01_004,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH01,80.93,94.3,drill core (simulated),0.26,4.51,65.28,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH02_005,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH02,0.0,2.54,drill core (simulated),0.45,6.25,50.1,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH02_006,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH02,2.54,46.83,drill core (simulated),0.51,5.58,60.52,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH02_007,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH02,46.83,47.54,drill core (simulated),16.56,6.94,32.07,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH02_008,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH02,47.54,87.6,drill core (simulated),0.74,4.28,55.39,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH03_009,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH03,0.0,2.65,drill core (simulated),0.12,4.7,52.51,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH03_010,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH03,2.65,45.76,drill core (simulated),0.69,4.91,51.82,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH03_011,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH03,45.76,46.09,drill core (simulated),21.59,4.63,27.2,SIMULATED_ASSAY,SIMULATED
SIM_T03_AMB_BH03_012,T03,AMBIGUOUS_DRILLING_RESULT,SIM_T03_AMB_BH03,46.09,55.1,drill core (simulated),0.53,4.98,61.88,SIMULATED_ASSAY,SIMULATED
SIM_T04_SS01,T04,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),9.8,3.12,55.88,SIMULATED_SCREENING,SIMULATED
SIM_T04_SS02,T04,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),13.27,3.77,50.33,SIMULATED_SCREENING,SIMULATED
SIM_T04_SS03,T04,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),22.26,2.26,38.43,SIMULATED_SCREENING,SIMULATED
SIM_T04_SS04,T04,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),10.86,6.75,53.53,SIMULATED_SCREENING,SIMULATED
SIM_T04_SS05,T04,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),19.62,3.63,41.79,SIMULATED_SCREENING,SIMULATED
SIM_T04_SS06,T04,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),17.55,5.07,49.91,SIMULATED_SCREENING,SIMULATED
SIM_T04_SS07,T04,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),14.05,5.33,50.8,SIMULATED_SCREENING,SIMULATED
SIM_T04_SS08,T04,POSITIVE_GEOCHEMICAL_SUPPORT,,0.0,0.2,soil / rock chip (simulated),19.69,5.97,39.74,SIMULATED_SCREENING,SIMULATED
SIM_T04_POS_BH01_001,T04,POSITIVE_DRILLING_INTERSECTION,SIM_T04_POS_BH01,0.0,2.57,drill core (simulated),0.26,3.48,56.2,SIMULATED_ASSAY,SIMULATED
SIM_T04_POS_BH01_002,T04,POSITIVE_DRILLING_INTERSECTION,SIM_T04_POS_BH01,2.57,18.28,drill core (simulated),1.17,3.62,64.82,SIMULATED_ASSAY,SIMULATED
SIM_T04_POS_BH01_003,T04,POSITIVE_DRILLING_INTERSECTION,SIM_T04_POS_BH01,18.28,20.17,drill core (simulated),36.97,6.66,15.98,SIMULATED_ASSAY,SIMULATED
SIM_T04_POS_BH01_004,T04,POSITIVE_DRILLING_INTERSECTION,SIM_T04_POS_BH01,20.17,62.1,drill core (simulated),0.76,5.96,62.44,SIMULATED_ASSAY,SIMULATED
SIM_T04_POS_BH02_005,T04,POSITIVE_DRILLING_INTERSECTION,SIM_T04_POS_BH02,0.0,2.02,drill core (simulated),0.79,3.36,59.22,SIMULATED_ASSAY,SIMULATED
SIM_T04_POS_BH02_006,T04,POSITIVE_DRILLING_INTERSECTION,SIM_T04_POS_BH02,2.02,26.3,drill core (simulated),0.49,4.92,50.18,SIMULATED_ASSAY,SIMULATED
SIM_T04_POS_BH02_007,T04,POSITIVE_DRILLING_INTERSECTION,SIM_T04_POS_BH02,26.3,28.25,drill core (simulated),33.31,7.34,19.72,SIMULATED_ASSAY,SIMULATED
SIM_T04_POS_BH02_008,T04,POSITIVE_DRILLING_INTERSECTION,SIM_T04_POS_BH02,28.25,67.3,drill core (simulated),0.41,4.7,58.27,SIMULATED_ASSAY,SIMULATED
